%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589530542097479672,227,-8,0,76
1589530542102026911,227,-7,0,76
1589530542107989022,227,-6,0,76
1589530542108003689,227,-5,0,76
1589530542108103424,227,-5,0,76
1589530542109892791,227,-5,0,76
1589530542109928480,227,-4,0,76
1589530542112705910,227,-1,0,76
1589530542112774844,227,0,0,76
1589530542114711858,228,1,0,76
1589530542116232819,228,0,0,76
1589530542118007519,228,-2,0,76
1589530542119504036,228,-7,0,76
1589530542122726851,228,-11,0,76
1589530542124351459,228,-11,0,76
1589530542126347140,228,-9,0,76
1589530542127981526,228,-5,0,76
1589530542130806379,228,-2,0,76
1589530542132436853,228,-1,0,76
1589530542134426668,228,0,0,76
1589530542135811716,228,0,0,76
1589530542138672258,228,0,0,76
1589530542140455269,228,0,0,76
1589530542144341518,228,0,0,76
1589530542144747304,228,0,0,76
1589530542148857469,228,2,0,76
1589530542149044228,228,2,0,76
1589530542151607520,228,2,0,76
1589530542153567023,228,1,0,76
1589530542154880692,228,0,0,76
1589530542156871973,228,0,0,76
1589530542159305707,228,0,0,76
1589530542161426058,228,0,0,76
1589530542163785968,228,0,0,76
1589530542165425243,228,0,0,76
1589530542167293811,228,0,0,76
1589530542168643169,228,0,0,76
1589530542171433799,228,1,0,76
1589530542174309008,228,3,0,76
1589530542175085866,228,2,0,76
1589530542176874255,228,1,0,76
1589530542179960179,228,0,0,76
1589530542181639544,228,0,0,76
1589530542183149749,228,1,0,76
1589530542185016851,228,2,0,76
1589530542187530275,228,2,0,76
1589530542189276130,228,1,0,76
1589530542191840888,228,0,0,76
1589530542193369672,228,0,0,76
1589530542195157083,228,1,0,76
1589530542196847692,228,2,0,76
1589530542198440522,228,4,0,76
1589530542200507093,228,4,0,76
1589530542202029522,228,3,0,76
1589530542205093934,228,1,0,76
1589530542206419825,228,0,0,76
1589530542208224837,228,0,0,76
1589530542212233311,228,1,0,76
1589530542213440889,228,3,0,76
1589530542213859386,228,5,0,76
1589530542216573258,228,6,0,76
1589530542217983240,228,6,0,76
1589530542221136632,228,7,0,76
1589530542222705016,228,8,0,76
1589530542224776966,228,8,0,76
1589530542225833474,228,7,0,76
1589530542229344739,228,6,0,76
1589530542230727832,228,5,0,76
1589530542232259549,228,4,0,76
1589530542234022515,228,3,0,76
1589530542237449201,228,1,0,76
1589530542238927139,228,0,0,76
1589530542240584992,228,-2,0,76
1589530542242878413,228,-5,0,76
1589530542247107869,228,-11,0,76
1589530542247131825,228,-21,0,76
1589530542250506687,228,-37,0,76
1589530542251348570,228,-55,0,76
1589530542252959000,228,-72,0,76
1589530542259007645,228,-86,0,76
1589530542259784993,228,-96,0,76
1589530542261771874,228,-102,0,76
1589530542267496869,228,-106,0,76
1589530542268295728,228,-107,0,76
1589530542270153541,228,-102,0,76
1589530542273424268,228,-88,0,76
1589530542274649446,228,-58,0,76
1589530542275295769,228,-8,0,76
1589530542277410253,228,64,0,76
1589530542279042194,228,159,0,76
1589530542283055069,228,273,0,76
1589530542283137693,228,391,0,76
1589530542284234780,228,482,0,76
1589530542286090147,228,517,0,76
1589530542287729422,228,500,0,76
1589530542289332030,228,469,0,76
1589530542291348734,228,453,0,76
1589530542292537734,228,447,0,76
1589530542294568616,228,435,0,76
1589530542296222558,228,409,0,76
1589530542298260773,228,373,0,76
1589530542300295566,228,323,0,76
1589530542301661547,228,238,0,76
1589530542303330156,228,104,0,76
1589530542304922497,228,-55,0,76
1589530542306794976,228,-198,0,76
1589530542307999620,228,-290,0,76
1589530542310283752,228,-329,0,76
1589530542311968494,228,-337,0,72
1589530542315043662,228,-331,0,72
1589530542316384709,228,-319,0,72
1589530542319426632,228,-297,0,72
1589530542321073730,228,-265,0,72
1589530542322491534,228,-228,0,72
1589530542324281389,228,-190,0,72
1589530542326928771,228,-158,0,72
1589530542328763606,228,-135,0,72
1589530542332759369,228,-124,0,72
1589530542333366580,228,-125,0,72
1589530542334891941,228,-136,0,72
1589530542336756598,228,-150,0,72
1589530542339689497,228,-159,0,72
1589530542341690067,228,-157,0,72
1589530542343057026,228,-143,0,72
1589530542344348695,228,-120,0,72
1589530542348282368,228,-95,0,72
1589530542349993999,228,-75,0,72
1589530542351268067,228,-65,0,72
1589530542352931787,228,-66,0,72
1589530542355845619,228,-76,0,72
1589530542357350447,228,-89,0,72
1589530542360880290,228,-98,0,72
1589530542361932887,228,-98,0,72
1589530542363464605,228,-87,0,72
1589530542365287216,228,-69,0,72
1589530542367967844,228,-48,0,72
1589530542369654053,228,-32,0,72
1589530542372078009,228,-25,0,72
1589530542373432745,228,-29,0,72
1589530542375629853,228,-41,0,72
1589530542377180148,228,-55,0,72
1589530542380008911,228,-65,0,72
1589530542381462894,228,-66,0,72
1589530542383846272,228,-57,0,72
1589530542385366744,228,-41,0,72
1589530542388279598,228,-23,0,72
1589530542390046475,228,-8,0,72
1589530542391409523,228,-1,0,72
1589530542393136799,228,-4,0,72
1589530542394654339,228,-14,0,72
1589530542396227123,228,-27,0,72
1589530542398259472,228,-37,0,72
1589530542401248105,228,-39,0,72
1589530542402856580,228,-32,0,72
1589530542404303718,228,-15,0,72
1589530542405851569,228,3,0,72
1589530542410868639,228,18,0,72
1589530542410895040,228,25,0,72
1589530542412805653,228,21,0,72
1589530542414186301,228,10,0,72
1589530542417095733,228,-3,0,72
1589530542418680251,228,-14,0,72
1589530542421846354,228,-18,0,72
1589530542423199135,228,-13,0,72
1589530542424844765,228,0,0,72
1589530542426248880,228,15,0,72
1589530542429600765,228,28,0,72
1589530542431071859,228,34,0,72
1589530542434359697,228,31,0,72
1589530542435720789,228,22,0,72
1589530542437400154,228,11,0,72
1589530542439134275,228,2,0,72
1589530542442152242,228,-1,0,72
1589530542443663914,228,1,0,72
1589530542445302700,228,9,0,72
1589530542447501274,228,20,0,72
1589530542450833603,228,28,0,72
1589530542451746375,228,29,0,72
1589530542453238003,228,22,0,72
1589530542454964302,228,11,0,72
1589530542458510767,228,1,0,72
1589530542459588787,228,-2,0,72
1589530542462614088,228,0,0,72
1589530542463853444,228,6,0,72
1589530542467041059,228,17,0,72
1589530542468685223,228,28,0,72
1589530542470751794,228,37,0,72
1589530542472251244,228,42,0,72
1589530542474129590,228,40,0,72
1589530542476546213,228,34,0,72
1589530542478453893,228,26,0,72
1589530542479812051,228,19,0,72
1589530542481997425,228,18,0,72
1589530542484361736,228,21,0,72
1589530542485744339,228,29,0,72
1589530542486880049,228,39,0,72
1589530542489491742,228,47,0,72
1589530542490712031,228,51,0,72
1589530542492321972,228,50,0,72
1589530542495128735,228,45,0,72
1589530542497119528,228,40,0,72
1589530542499725843,228,38,0,72
1589530542500992089,229,41,0,72
1589530542502566829,229,47,0,72
1589530542504194370,229,54,0,72
1589530542507045134,229,59,0,72
1589530542508696632,229,62,0,72
1589530542511389481,229,62,0,72
1589530542512863020,229,59,0,72
1589530542515645338,229,55,0,72
1589530542517608752,229,50,0,72
1589530542520343159,229,48,0,72
1589530542522145725,229,50,0,72
1589530542523084409,229,57,0,72
1589530542524821464,229,67,0,72
1589530542528091702,229,77,0,72
1589530542529397549,229,84,0,72
1589530542532610097,229,87,0,72
1589530542534046479,229,84,0,72
1589530542535790378,229,77,0,72
1589530542537190093,229,68,0,72
1589530542540122503,229,61,0,72
1589530542541819957,229,59,0,72
1589530542544564141,229,62,0,72
1589530542545982923,229,68,0,72
1589530542547562552,229,72,0,72
1589530542549169071,229,74,0,72
1589530542552191927,229,73,0,72
1589530542553678666,229,69,0,72
1589530542556544097,229,65,0,72
1589530542557904700,229,61,0,72
1589530542561648191,229,58,0,72
1589530542562661188,229,57,0,72
1589530542564621180,229,58,0,72
1589530542566322545,229,60,0,72
1589530542568403294,229,64,0,72
1589530542570196572,229,68,0,72
1589530542572259722,229,71,0,72
1589530542573830551,229,71,0,72
1589530542576591846,229,68,0,72
1589530542578044362,229,64,0,72
1589530542580078667,229,59,0,72
1589530542581780520,229,55,0,72
1589530542583039921,229,51,0,72
1589530542584776976,229,48,0,72
1589530542586499363,229,45,0,72
1589530542589512930,229,42,0,72
1589530542590698997,229,39,0,72
1589530542593581539,229,36,0,72
1589530542594789606,229,34,0,72
1589530542597812462,229,35,0,72
1589530542599387202,229,35,0,72
1589530542600920386,229,34,0,72
1589530542602691175,229,31,0,72
1589530542605489138,229,27,0,72
1589530542608213766,229,25,0,72
1589530542609927842,229,24,0,72
1589530542611259112,229,25,0,72
1589530542614567484,229,25,0,72
1589530542616052267,229,24,0,72
1589530542617969236,229,22,0,72
1589530542619456952,229,18,0,72
1589530542622173758,229,15,0,72
1589530542624058949,229,12,0,72
1589530542625490931,229,9,0,72
1589530542626954691,229,8,0,72
1589530542630168707,229,6,0,72
1589530542631759092,229,5,0,72
1589530542634354651,229,4,0,72
1589530542635833078,229,4,0,72
1589530542638736154,229,3,0,72
1589530542640417963,229,2,0,72
1589530542643052634,229,1,0,72
1589530542643951229,229,1,0,72
1589530542647014175,229,2,0,72
1589530542648242775,229,3,0,72
1589530542649794537,229,2,0,72
1589530542651661150,229,0,0,72
1589530542654892276,229,-1,0,72
1589530542657501036,229,-3,0,72
1589530542658848439,229,-3,0,72
1589530542660349844,229,-3,0,72
1589530542663231898,229,-3,0,72
1589530542664859928,229,-3,0,72
1589530542666651739,229,-5,0,72
1589530542668258258,229,-7,0,72
1589530542670194293,229,-9,0,72
1589530542671714766,229,-9,0,72
1589530542674497084,229,-7,0,72
1589530542676144670,229,-4,0,72
1589530542677825013,229,-3,0,72
1589530542679579667,230,-5,0,72
1589530542681412546,230,-9,0,72
1589530542683816457,230,-15,0,72
1589530542685771560,230,-19,0,72
1589530542688607168,230,-22,0,72
1589530542688768505,230,-23,0,72
1589530542691214461,230,-23,0,72
1589530542693040006,230,-23,0,72
1589530542695741167,230,-22,0,72
1589530542697114482,230,-20,0,72
1589530542700192094,230,-16,0,72
1589530542701733101,230,-11,0,72
1589530542703263351,230,-9,0,72
1589530542705109919,230,-11,0,72
