%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589537900302030569,134,-6,0,68
1589537900305607265,134,-5,0,68
1589537900310638400,134,-2,0,68
1589537900312267859,134,1,0,68
1589537900316503086,134,6,0,68
1589537900317327838,134,8,0,68
1589537900317359127,134,10,0,68
1589537900319369430,134,10,0,68
1589537900321367999,134,10,0,68
1589537900322492439,134,10,0,68
1589537900324149277,134,10,0,68
1589537900325690737,134,10,0,68
1589537900327015620,134,10,0,68
1589537900328591302,134,10,0,68
1589537900330219785,134,11,0,68
1589537900331892755,134,12,0,68
1589537900333575504,134,12,0,68
1589537900335868383,134,12,0,68
1589537900338460461,134,11,0,68
1589537900339600545,134,10,0,68
1589537900341134672,134,9,0,68
1589537900342462978,134,7,0,68
1589537900345513632,134,5,0,68
1589537900346789626,134,5,0,68
1589537900350036813,134,5,0,68
1589537900351443340,134,6,0,68
1589537900354076974,134,5,0,68
1589537900355880966,134,2,0,68
1589537900357329538,134,-2,0,68
1589537900359186330,134,-6,0,68
1589537900362269251,134,-8,0,68
1589537900363581423,134,-7,0,68
1589537900368687846,134,-3,0,68
1589537900368867757,134,1,0,68
1589537900370884904,134,7,0,68
1589537900372177520,134,10,0,68
1589537900373797691,134,10,0,68
1589537900375395374,134,8,0,68
1589537900378090607,134,6,0,68
1589537900379586601,134,5,0,68
1589537900382640677,134,2,0,68
1589537900384065782,134,0,0,68
1589537900387310035,134,-4,0,68
1589537900389480693,134,-6,0,68
1589537900390653532,134,-7,0,68
1589537900391947616,134,-5,0,68
1589537900394141251,134,0,0,68
1589537900395870933,134,3,0,68
1589537900399589895,134,5,0,68
1589537900400056782,134,5,0,68
1589537900401434954,134,4,0,68
1589537900402887437,134,2,0,68
1589537900404278809,134,3,0,68
1589537900407623284,134,4,0,68
1589537900410693982,134,5,0,68
1589537900411864377,134,6,0,68
1589537900414026724,134,6,0,68
1589537900415476273,134,5,0,68
1589537900417370221,134,5,0,68
1589537900418852526,134,7,0,68
1589537900420344608,134,8,0,68
1589537900423319485,134,9,0,68
1589537900424805701,134,8,0,68
1589537900427918443,134,6,0,68
1589537900429547903,134,4,0,68
1589537900431003319,134,4,0,68
1589537900433068377,134,3,0,68
1589537900435667789,134,3,0,68
1589537900438282844,134,3,0,68
1589537900440275547,134,3,0,68
1589537900441840963,134,4,0,68
1589537900443693844,134,4,0,68
1589537900445207438,134,2,0,68
1589537900448383247,134,-1,0,68
1589537900450014173,134,-5,0,68
1589537900452976828,134,-10,0,68
1589537900454462066,134,-14,0,68
1589537900455819216,134,-21,0,68
1589537900457398320,134,-32,0,68
1589537900460636707,134,-45,0,68
1589537900462348788,134,-59,0,68
1589537900465267443,134,-74,0,68
1589537900466879792,134,-88,0,68
1589537900468673518,134,-99,0,68
1589537900469842935,134,-105,0,68
1589537900473690963,134,-105,0,68
1589537900474819803,134,-101,0,68
1589537900476235130,134,-90,0,68
1589537900478369610,134,-69,0,68
1589537900481755641,134,-32,0,68
1589537900483052169,134,24,0,68
1589537900484642518,134,100,0,68
1589537900485934157,134,195,0,68
1589537900488690501,134,300,0,68
1589537900490060851,134,392,0,68
1589537900492895416,134,442,0,68
1589537900494265766,134,440,0,68
1589537900495862471,134,413,0,68
1589537900497593130,134,391,0,68
1589537900500060053,134,382,0,68
1589537900501102849,134,373,0,68
1589537900503449017,134,357,0,68
1589537900505145454,134,333,0,68
1589537900506898114,134,308,0,68
1589537900510413210,134,283,0,68
1589537900511924848,134,242,0,68
1589537900513479019,134,162,0,68
1589537900515502522,134,34,0,68
1589537900517226826,134,-113,0,68
1589537900518917397,134,-238,0,68
1589537900521913295,134,-313,0,68
1589537900523390711,134,-343,0,68
1589537900526401765,134,-344,0,65
1589537900527993092,134,-331,0,65
1589537900529542863,134,-307,0,65
1589537900531538011,134,-271,0,65
1589537900534038667,134,-228,0,65
1589537900535567905,134,-185,0,65
1589537900538553048,134,-148,0,65
1589537900540111619,134,-123,0,65
1589537900541715657,134,-111,0,65
1589537900543328984,134,-113,0,65
1589537900546229060,134,-125,0,65
1589537900547719676,134,-141,0,65
1589537900550713131,134,-152,0,65
1589537900552395390,134,-151,0,65
1589537900555034402,134,-136,0,65
1589537900556789016,134,-112,0,65
1589537900558353454,134,-85,0,65
1589537900559693493,134,-64,0,65
1589537900562888858,134,-55,0,65
1589537900564492406,134,-58,0,65
1589537900567339195,134,-69,0,65
1589537900569007277,134,-82,0,65
1589537900570648959,134,-92,0,65
1589537900572003664,134,-94,0,65
1589537900575841915,134,-87,0,65
1589537900576707244,134,-73,0,65
1589537900578665236,134,-55,0,65
1589537900580192519,134,-38,0,65
1589537900582764064,134,-28,0,65
1589537900584540189,134,-27,0,65
1589537900586485959,134,-36,0,65
1589537900589077059,134,-49,0,65
1589537900590805274,134,-61,0,65
1589537900592457712,134,-64,0,65
1589537900593947839,134,-58,0,65
1589537900595693165,134,-43,0,65
1589537900597053737,134,-24,0,65
1589537900599138351,134,-9,0,65
1589537900600810344,134,-1,0,65
1589537900603882998,134,-2,0,65
1589537900605015260,134,-11,0,65
1589537900608205246,134,-23,0,65
1589537900609964750,134,-33,0,65
1589537900611584921,134,-36,0,65
1589537900613266692,134,-30,0,65
1589537900616479167,134,-18,0,65
1589537900617900850,134,-3,0,65
1589537900621246303,134,10,0,65
1589537900622560920,134,17,0,65
1589537900624290601,134,17,0,65
1589537900625943039,134,10,0,65
1589537900628957026,134,0,0,65
1589537900630181688,134,-9,0,65
1589537900632150924,134,-12,0,65
