%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589545894568885484,286,311,19,69
1589545894574338099,286,280,20,69
1589545894578910220,286,218,20,69
1589545894580487876,286,112,19,69
1589545894580509876,286,-20,18,69
1589545894581286237,286,-145,20,69
1589545894582405311,286,-234,18,69
1589545894584145768,286,-281,18,69
1589545894586656230,286,-299,18,69
1589545894587729837,286,-297,20,69
1589545894590804481,286,-282,20,69
1589545894591111994,286,-255,18,69
1589545894592740005,286,-220,18,69
1589545894594257527,286,-185,19,69
1589545894595688515,286,-155,19,69
1589545894597376171,286,-134,18,69
1589545894602426428,286,-126,17,69
1589545894603171989,286,-130,18,69
1589545894604851334,286,-143,18,69
1589545894606432901,286,-158,18,69
1589545894609634656,286,-168,17,69
1589545894611155112,286,-167,19,69
1589545894612744012,286,-155,20,69
1589545894614449757,286,-134,21,69
1589545894617309777,286,-109,20,69
1589545894618722187,286,-89,20,69
1589545894620580955,286,-80,19,69
1589545894622178655,286,-83,18,69
1589545894625066053,286,-96,19,69
1589545894626875932,286,-110,20,69
1589545894631106806,286,-120,18,69
1589545894631392808,286,-119,18,69
1589545894634606297,286,-109,17,69
1589545894635185146,286,-90,17,69
1589545894636529111,286,-66,17,69
1589545894638262234,286,-45,16,69
1589545894641441012,286,-32,18,69
1589545894642772265,286,-31,20,69
1589545894646263934,286,-42,18,69
1589545894647777545,286,-58,18,69
1589545894652091041,286,-71,18,69
1589545894652138953,286,-77,18,69
1589545894653563096,286,-71,17,69
1589545894655051284,286,-56,16,69
1589545894657941615,286,-36,18,69
1589545894659558871,286,-19,18,69
1589545894662628626,286,-10,17,69
1589545894664142236,286,-12,22,69
1589545894665784426,286,-24,21,69
1589545894668814580,286,-39,23,69
1589545894669708764,286,-50,23,69
1589545894671011173,286,-52,23,69
1589545894673850171,286,-45,23,69
1589545894675453249,286,-31,23,69
1589545894677735398,286,-15,22,69
1589545894679018740,286,-2,21,69
1589545894681094577,286,1,23,69
1589545894682653166,286,-3,23,69
1589545894684654202,286,-13,22,69
1589545894685953189,286,-24,23,69
1589545894687370487,286,-31,23,69
1589545894690636777,286,-33,23,69
1589545894692148921,286,-27,21,69
1589545894694936584,286,-14,21,69
1589545894696479040,286,0,21,69
1589545894698048873,286,13,21,69
1589545894699573239,286,21,22,69
1589545894702871795,286,20,22,69
1589545894704264161,286,14,21,69
1589545894707093869,286,5,21,69
1589545894709893266,286,-2,23,69
1589545894711662079,286,-7,23,69
1589545894712880887,286,-6,22,69
1589545894714224852,286,0,24,69
1589545894716007354,286,9,22,69
1589545894718593105,286,17,21,69
1589545894720274894,286,22,22,69
1589545894723459050,286,20,22,69
1589545894724797637,286,15,22,69
1589545894727935348,286,9,22,69
1589545894732353956,286,5,22,69
1589545894732384757,286,5,22,69
1589545894738281287,286,10,21,69
1589545894741909356,286,18,22,69
1589545894742714073,286,28,22,69
1589545894743785236,286,36,22,69
1589545894747808331,286,40,21,69
1589545894748940116,286,39,21,69
1589545894750631684,286,35,20,69
1589545894754803402,286,28,22,69
1589545894757207285,286,20,23,69
1589545894757232219,286,15,23,69
1589545894758151336,286,16,22,69
1589545894759551035,286,23,21,69
1589545894761006956,286,33,22,69
1589545894762602701,286,43,21,69
1589545894763969643,286,50,20,69
1589545894765541921,286,51,20,69
1589545894767032554,286,48,20,69
1589545894768504608,286,44,20,69
1589545894770065153,286,43,23,69
1589545894771571919,286,44,22,69
1589545894773747489,286,47,22,69
1589545894775094388,286,50,21,69
1589545894777290492,286,55,20,69
1589545894778332321,286,60,22,69
1589545894781472965,286,64,21,69
1589545894783235911,286,65,20,69
1589545894784413164,286,64,20,69
1589545894785912596,286,61,18,69
1589545894789140752,286,61,19,69
1589545894790551695,286,62,20,69
1589545894793628295,286,65,20,69
1589545894794920437,286,70,19,69
1589545894796638893,286,75,20,69
1589545894798578818,286,81,20,69
1589545894801317593,286,86,18,69
1589545894802739780,286,88,18,69
1589545894805943492,286,86,17,69
1589545894807697637,286,82,20,69
1589545894809160892,286,79,18,69
1589545894810833392,286,79,18,69
1589545894813647945,286,81,18,69
1589545894815074533,286,84,18,69
1589545894817819174,286,87,17,69
1589545894819775721,286,90,17,69
1589545894821091331,286,92,16,69
1589545894823088456,286,93,15,69
1589545894826303411,286,92,15,69
1589545894829429389,286,89,16,69
1589545894830395929,286,86,16,69
1589545894831981895,286,82,14,69
1589545894833707685,286,80,13,69
1589545894835107873,286,79,13,69
1589545894839844750,286,78,16,69
1589545894839959640,286,79,16,69
1589545894841598407,286,80,15,69
1589545894843172640,286,79,15,69
1589545894846111861,286,76,16,69
1589545894847623027,286,72,14,69
1589545894850287979,286,67,13,69
1589545894851708211,286,63,12,69
1589545894854363874,286,60,13,69
1589545894855949351,286,60,13,69
1589545894857693230,286,62,12,69
1589545894859717733,286,65,12,69
1589545894862002327,286,66,14,69
1589545894863924651,286,64,12,69
1589545894865845509,286,59,14,69
1589545894867582055,286,53,15,69
1589545894870265096,286,49,14,69
1589545894871975241,286,45,12,69
1589545894873747475,286,43,12,69
1589545894875133974,286,40,12,69
1589545894876975631,286,37,12,69
1589545894878564531,286,34,10,69
1589545894880219920,286,30,10,69
1589545894883016873,286,28,9,69
1589545894884366705,286,25,10,69
1589545894887173925,286,23,9,69
1589545894888752558,286,21,10,69
1589545894891899069,286,18,10,69
1589545894893398012,286,16,10,69
1589545894894924823,286,14,10,69
1589545894896224788,286,12,9,69
1589545894899308720,286,12,11,69
1589545894901290690,286,12,10,69
1589545894903800174,286,12,10,69
1589545894905872099,286,11,9,69
1589545894908959454,286,7,11,69
1589545894908988788,286,3,12,69
1589545894911864941,286,0,11,69
1589545894913526686,286,-1,13,69
1589545894915096519,286,-4,13,69
1589545894917664182,286,-8,13,69
1589545894919784019,286,-11,13,69
1589545894921355807,286,-13,12,69
1589545894924282317,286,-14,11,69
1589545894925600370,286,-14,12,69
1589545894928482879,286,-15,11,69
1589545894930003823,286,-16,11,69
1589545894931675835,286,-17,11,69
1589545894933209001,286,-18,11,69
1589545894936809204,286,-19,12,69
1589545894937654010,286,-21,9,69
1589545894940991677,286,-22,10,69
1589545894942624578,286,-23,10,69
1589545894944141122,286,-23,11,69
1589545894946115758,286,-24,12,69
1589545894948530397,286,-25,14,69
1589545894950067474,286,-25,15,69
1589545894953139673,286,-24,16,69
1589545894954456749,286,-24,16,69
1589545894957124145,286,-25,17,69
1589545894957688327,286,-26,16,69
1589545894960866127,286,-28,15,69
1589545894962252137,286,-28,15,69
1589545894964117750,286,-28,14,69
1589545894965835717,286,-29,14,69
1589545894967325861,286,-29,14,69
1589545894968932850,286,-29,14,69
1589545894970345260,286,-28,13,69
1589545894973755284,286,-28,11,69
1589545894974929114,286,-28,13,69
1589545894976760993,286,-29,13,69
1589545894978179759,286,-30,12,69
1589545894981582449,286,-33,12,69
1589545894982664368,286,-35,14,69
1589545894986136970,286,-36,15,69
1589545894987124043,286,-35,15,69
1589545894990243176,286,-33,15,69
1589545894991620386,286,-32,15,69
1589545894993225908,286,-31,14,69
1589545894994676941,286,-32,13,69
1589545894998399855,286,-33,13,69
1589545895001603078,286,-35,14,69
1589545895001692056,286,-36,13,69
1589545895003080999,286,-37,13,69
1589545895006254888,286,-38,13,69
1589545895007745032,286,-38,12,69
1589545895011725593,286,-37,13,69
1589545895012191996,286,-37,13,69
1589545895013718318,286,-36,15,69
1589545895015295484,286,-35,15,69
1589545895018258661,286,-35,16,69
1589545895019830938,286,-36,15,69
1589545895022955938,286,-37,16,69
1589545895024791728,286,-38,15,69
