%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589546147507455422,265,-70,11,62
1589546147509100056,265,-89,12,62
1589546147515942592,265,-106,11,62
1589546147516987844,265,-119,13,62
1589546147520493201,265,-127,13,62
1589546147520576802,265,-131,13,62
1589546147521649432,265,-131,15,62
1589546147522777795,265,-124,14,62
1589546147526494354,265,-104,14,62
1589546147526567688,265,-65,13,62
1589546147527891608,265,-5,14,62
1589546147529841799,265,75,14,62
1589546147531630167,265,173,13,62
1589546147533345690,265,281,14,62
1589546147535197614,265,381,13,62
1589546147537672876,265,443,14,62
1589546147539638712,265,450,12,62
1589546147542540288,265,421,12,62
1589546147543828030,265,393,12,62
1589546147545696576,265,383,12,62
1589546147547569033,265,381,11,62
1589546147549147178,265,372,11,62
1589546147550311230,265,353,10,62
1589546147553180539,265,328,11,62
1589546147554986996,265,301,10,62
1589546147556228782,265,267,10,62
1589546147557919861,265,209,9,62
1589546147560995971,265,112,9,62
1589546147562312069,265,-13,10,62
1589546147565196533,265,-135,8,62
1589546147566625077,265,-222,8,62
1589546147569924122,265,-269,9,62
1589546147571075952,265,-286,10,62
1589546147574308508,265,-286,9,62
1589546147575430516,265,-276,10,61
1589546147577166572,265,-255,9,61
1589546147579185697,265,-225,11,61
1589546147582227585,265,-192,12,61
1589546147583426838,265,-163,11,61
1589546147586362636,265,-143,11,61
1589546147587876735,265,-135,11,61
1589546147590846267,265,-141,13,61
1589546147590869734,265,-155,13,61
1589546147593766909,265,-169,12,61
1589546147595152919,265,-178,12,61
1589546147597869204,264,-177,12,61
1589546147599479127,264,-165,12,61
1589546147601863454,264,-144,11,61
1589546147603675778,264,-119,11,61
1589546147605971616,264,-98,11,61
1589546147607599138,264,-87,10,61
1589546147610082711,264,-88,10,61
1589546147611713167,264,-97,10,61
1589546147613459979,264,-111,11,61
1589546147614815189,264,-121,11,61
1589546147616174309,264,-124,11,61
1589546147619372642,264,-116,11,61
1589546147621032432,264,-99,11,61
1589546147622676576,264,-78,10,61
1589546147623774628,264,-58,10,61
1589546147626866383,264,-47,8,61
1589546147628893819,264,-46,9,61
1589546147631460015,264,-55,8,61
1589546147632940381,264,-67,10,61
1589546147634219812,264,-77,10,61
1589546147636086892,264,-79,9,61
1589546147639039801,264,-71,9,61
1589546147640984614,264,-55,9,61
1589546147643655433,264,-37,9,61
1589546147645711225,264,-21,9,61
1589546147646994567,264,-13,11,61
1589546147648638223,264,-15,10,61
1589546147651653222,264,-23,12,61
1589546147652848563,264,-35,12,61
1589546147655585382,264,-46,12,61
1589546147657214860,264,-52,11,61
1589546147659932612,264,-48,12,61
1589546147661528357,264,-36,12,61
1589546147663311836,264,-20,11,61
1589546147665019048,264,-7,13,61
1589546147667666399,264,-1,13,61
1589546147671615671,264,-2,13,61
1589546147672477588,264,-9,13,61
1589546147674077733,264,-17,14,61
1589546147675948234,264,-24,13,61
1589546147677406111,264,-26,12,61
1589546147680422088,264,-23,11,61
1589546147681726452,264,-16,11,61
1589546147685284610,264,-7,11,61
1589546147686403196,264,2,11,61
1589546147688012629,264,7,11,61
1589546147689808331,264,7,10,61
1589546147695304946,264,3,10,61
1589546147704816835,264,-2,10,61
1589546147704845679,264,-8,11,61
1589546147704860835,264,-10,10,61
1589546147704875502,264,-8,10,61
1589546147705053947,264,0,12,61
1589546147708167213,264,12,12,61
1589546147710826787,264,23,11,61
1589546147711594837,264,31,12,61
1589546147711619771,264,32,12,61
1589546147711915550,263,28,14,61
1589546147714027565,263,21,12,61
1589546147715351485,263,15,11,61
1589546147716994652,263,12,10,61
1589546147718421240,263,13,9,61
1589546147723396697,263,20,10,61
1589546147723468075,263,29,11,61
1589546147724594483,263,36,9,61
1589546147726332984,263,41,10,61
1589546147729048780,263,42,10,61
1589546147730388834,263,39,10,61
1589546147733609656,263,33,11,61
1589546147735105667,263,26,11,61
1589546147737026036,263,23,10,61
1589546147738585602,263,25,9,61
1589546147741714513,263,32,9,61
1589546147743320524,263,40,11,61
1589546147745893075,263,45,11,61
1589546147747487841,263,47,12,61
1589546147749632612,263,48,11,61
1589546147751187289,263,46,13,61
1589546147753928019,263,44,13,61
1589546147755346296,263,41,13,61
1589546147758481073,263,39,12,61
1589546147759596725,263,41,13,61
1589546147761339137,263,48,13,61
1589546147763005771,263,57,13,61
1589546147765785613,263,65,11,61
1589546147767262556,263,71,12,61
1589546147770903337,263,72,11,61
1589546147771809743,263,71,11,61
1589546147774791009,263,67,10,61
1589546147776027417,263,61,9,61
1589546147777587961,263,56,9,61
1589546147780077401,263,54,10,61
1589546147782276438,263,57,10,61
1589546147783847249,263,62,10,61
1589546147786848559,263,69,9,61
1589546147788363636,263,74,10,61
1589546147790796853,263,75,9,61
1589546147791666103,263,75,9,61
1589546147794053364,263,72,9,61
1589546147795637864,263,70,9,61
1589546147798305749,263,68,8,61
1589546147799525536,263,69,9,61
1589546147802112265,263,72,10,61
1589546147805590244,263,77,10,61
1589546147807599103,263,82,10,61
1589546147809357648,263,84,10,61
1589546147811204194,263,82,11,61
1589546147812657182,263,78,10,61
1589546147814146837,263,72,10,61
1589546147815610580,263,65,10,61
1589546147817001968,263,59,9,61
1589546147818925270,263,56,10,61
1589546147820766438,263,57,13,61
1589546147823563880,263,60,13,61
1589546147825456871,263,62,13,61
1589546147827811865,263,63,12,61
1589546147829784545,263,62,13,61
1589546147831163710,263,61,12,61
1589546147832544342,263,59,12,61
1589546147835634141,263,59,11,61
1589546147836975173,263,60,11,61
1589546147840052750,263,60,11,61
1589546147841544360,263,57,11,61
1589546147844840472,263,52,11,61
1589546147846290526,263,47,11,61
1589546147848318940,263,43,9,61
1589546147850117086,263,40,10,61
1589546147851868787,263,36,10,61
1589546147853300264,263,32,10,61
1589546147856145617,263,29,9,61
1589546147857682205,263,27,9,61
1589546147860909383,263,27,10,61
1589546147862226459,263,28,10,61
1589546147863936604,263,30,11,61
1589546147865755283,263,32,10,61
1589546147868234945,263,34,9,61
1589546147871286122,263,35,10,61
1589546147872669687,263,32,9,61
1589546147874434099,263,26,10,61
1589546147876056733,263,21,10,61
1589546147877518521,263,16,9,61
1589546147880809255,263,13,9,61
1589546147882191842,263,10,9,61
1589546147883986077,263,9,11,61
1589546147885806222,263,7,11,61
1589546147888833932,263,4,10,61
1589546147890408654,263,1,10,61
1589546147892104133,263,0,13,61
1589546147893889078,263,0,13,61
1589546147896678209,263,1,14,61
1589546147898296931,263,2,13,61
1589546147899997788,263,0,12,61
1589546147901622865,263,-1,13,61
1589546147903460612,263,-3,12,61
1589546147905537426,263,-6,12,61
1589546147907703219,263,-9,11,61
1589546147909451009,263,-12,12,61
1589546147910712840,263,-14,13,61
1589546147913852995,263,-15,13,61
1589546147915262960,263,-16,12,61
1589546147918423160,263,-18,12,61
1589546147919907926,263,-21,13,61
1589546147921447447,263,-23,14,61
1589546147922936613,263,-24,13,61
1589546147925807878,263,-23,14,61
1589546147927207576,263,-21,14,61
1589546147930372665,263,-19,14,61
1589546147931651607,263,-17,15,61
1589546147934861674,263,-16,14,61
1589546147936244750,263,-15,13,61
1589546147938415920,263,-15,13,61
1589546147939789708,263,-15,14,61
1589546147942499638,263,-18,13,61
1589546147944093426,263,-22,13,61
1589546147945865661,263,-27,12,61
1589546147947349449,263,-31,12,61
1589546147950169380,263,-32,14,61
1589546147951363255,263,-29,14,61
1589546147954695056,262,-26,14,61
1589546147955826841,262,-24,13,61
1589546147959840647,262,-25,14,61
1589546147961093189,262,-26,13,61
1589546147963021380,262,-27,14,61
1589546147964598546,262,-29,13,61
1589546147967348565,262,-30,12,61
1589546147968859732,262,-30,13,61
1589546147970449120,262,-27,14,61
1589546147971899175,262,-24,13,61
1589546147974577816,262,-21,12,61
1589546147976110982,262,-21,11,61
1589546147978666911,262,-23,10,61
1589546147981303018,262,-26,12,61
1589546147982807828,262,-28,10,61
1589546147984211927,262,-30,12,61
1589546147986823100,262,-32,12,61
1589546147988365556,262,-32,11,61
1589546147991467088,262,-32,11,61
1589546147992102159,262,-31,12,61
1589546147993541947,262,-29,12,61
1589546147995249648,262,-29,11,61
1589546147996744191,262,-28,11,61
1589546147999577322,262,-25,10,61
1589546148001556358,262,-21,10,61
1589546148004398778,262,-17,11,61
1589546148005752032,262,-15,11,61
1589546148007287153,262,-14,10,61
1589546148008677563,262,-15,10,61
1589546148011910608,262,-16,12,61
1589546148013335240,262,-18,12,61
1589546148016574640,262,-19,11,61
1589546148018187007,262,-20,10,61
1589546148019582794,262,-21,10,61
1589546148021101783,262,-22,10,61
1589546148024346561,262,-23,10,61
1589546148025828393,262,-22,10,61
1589546148028777391,262,-21,10,61
1589546148029968822,262,-19,11,61
1589546148031560655,262,-18,11,61
1589546148033494224,262,-17,11,61
1589546148036402644,262,-18,11,61
1589546148037823854,262,-20,11,61
1589546148040894097,262,-23,12,61
1589546148042669754,262,-28,12,61
1589546148045670575,262,-31,11,61
1589546148047153385,262,-32,10,61
1589546148049341178,262,-31,9,61
1589546148050654343,262,-30,10,61
1589546148052279910,262,-30,10,61
1589546148053900588,262,-29,10,61
1589546148056566028,262,-28,9,61
1589546148058090883,262,-27,9,61
1589546148061173838,262,-28,9,61
1589546148063150918,262,-30,10,61
1589546148065532802,262,-31,9,61
1589546148066870411,262,-30,9,61
1589546148068779046,262,-27,10,61
1589546148070222745,262,-25,9,61
1589546148073467034,262,-24,9,61
1589546148074685354,262,-25,10,61
1589546148077419240,262,-26,11,61
1589546148079385564,262,-28,13,61
1589546148080812641,262,-29,14,61
1589546148082290562,262,-29,14,61
1589546148085547074,262,-27,13,61
1589546148086845572,262,-26,14,61
1589546148088562561,262,-24,12,61
1589546148090449197,262,-22,13,61
1589546148091801961,262,-21,14,61
1589546148093126860,262,-21,14,61
1589546148094616514,262,-22,13,61
1589546148098085205,262,-23,13,61
1589546148099665305,262,-24,12,61
1589546148102329768,262,-25,13,61
1589546148103920623,262,-26,13,61
1589546148105802859,262,-26,12,61
1589546148107504204,262,-23,13,61
1589546148110037155,262,-19,11,61
1589546148111448587,262,-16,11,61
1589546148114691898,262,-15,12,61
1589546148116287153,262,-15,10,61
1589546148118695437,262,-15,11,61
1589546148119480109,262,-16,12,61
1589546148122001326,262,-16,12,61
1589546148123494892,262,-17,11,61
1589546148126254200,262,-17,11,61
1589546148128110035,262,-17,12,61
1589546148131339658,262,-18,11,61
1589546148133092337,262,-20,11,61
1589546148135823289,262,-22,11,61
1589546148136822585,262,-21,11,61
1589546148139254335,262,-18,11,61
1589546148140650611,262,-15,11,61
1589546148143416275,262,-15,12,61
1589546148144978286,262,-17,9,61
1589546148146320784,262,-21,10,61
1589546148148007951,262,-25,9,61
1589546148150949616,262,-25,10,61
1589546148154432484,262,-23,10,61
1589546148155842939,262,-19,10,61
1589546148157744241,262,-15,8,61
1589546148158994827,262,-12,8,61
1589546148161018841,262,-12,8,61
1589546148163821661,262,-14,10,61
1589546148165310338,262,-15,9,61
1589546148167009727,262,-16,9,61
1589546148169089964,262,-16,9,61
1589546148171108600,262,-16,8,61
1589546148172522477,262,-17,9,61
1589546148175000672,262,-18,7,61
1589546148176469793,262,-19,7,61
1589546148179414391,262,-18,9,61
1589546148181161692,262,-17,8,61
1589546148183007260,262,-18,9,61
1589546148184590294,262,-18,9,61
1589546148186501862,262,-18,7,61
1589546148187794005,262,-16,8,61
1589546148189864463,262,-12,9,61
1589546148191492475,262,-9,9,61
1589546148193147864,262,-6,9,61
1589546148196662999,262,-5,8,61
1589546148198089587,262,-4,7,61
1589546148199831021,262,-6,9,61
1589546148201395966,262,-8,9,61
1589546148204447142,262,-9,8,61
1589546148205738796,262,-8,8,61
1589546148208949351,262,-7,8,61
1589546148210253227,262,-5,8,61
1589546148212033284,262,-2,9,61
1589546148213505338,262,0,9,61
1589546148216255357,262,4,9,61
1589546148218000214,262,7,10,61
1589546148220851923,262,8,9,61
1589546148222530779,262,5,9,61
1589546148225005063,262,2,8,61
1589546148226488362,262,1,7,61
1589546148231303462,262,1,7,61
1589546148231331329,262,1,7,61
1589546148232525204,262,1,7,61
1589546148234006058,262,0,7,61
1589546148237497238,262,0,7,61
1589546148240266813,262,-1,7,61
1589546148241281264,262,-1,8,61
1589546148242851097,262,-1,8,61
1589546148245672006,262,-1,8,61
1589546148247345973,262,-2,8,61
1589546148248607804,262,-3,7,61
1589546148250275416,262,-2,8,61
1589546148252761433,262,0,8,61
1589546148254521934,262,3,7,61
1589546148257779423,262,4,7,61
1589546148259206500,262,2,7,61
1589546148262389188,262,0,8,61
1589546148264213734,262,-3,8,61
1589546148265422276,262,-5,9,61
1589546148267260511,262,-5,9,61
1589546148269157413,262,-5,9,61
