%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589546723639229834,273,-35,1,66
1589546723640806511,273,-38,3,66
1589546723642138254,273,-43,3,66
1589546723644140757,273,-48,3,66
1589546723648412697,273,-54,1,66
1589546723649006701,273,-58,2,66
1589546723649652039,273,-60,3,66
1589546723651223339,273,-60,4,66
1589546723652922728,273,-58,2,66
1589546723655854615,273,-57,1,66
1589546723657330092,273,-56,2,66
1589546723658932192,273,-59,2,66
1589546723660440424,273,-63,2,66
1589546723663453956,273,-66,1,66
1589546723664829699,273,-67,1,66
1589546723667898965,273,-66,1,66
1589546723669629154,273,-65,1,66
1589546723671619924,273,-64,1,66
1589546723673425403,273,-61,1,66
1589546723675994532,273,-57,1,66
1589546723677444586,273,-53,1,66
1589546723680424873,273,-52,1,66
1589546723681936528,273,-52,2,66
1589546723683469694,273,-54,1,66
1589546723685458997,273,-57,0,66
1589546723688104882,273,-59,0,66
1589546723689295334,273,-61,0,66
1589546723692662824,273,-60,1,66
1589546723694136346,273,-57,1,66
1589546723696050359,273,-52,0,66
1589546723697557614,273,-48,2,66
1589546723700892837,273,-45,1,66
1589546723702410358,273,-46,1,66
1589546723703760190,273,-51,1,66
1589546723705626291,273,-56,1,66
1589546723708635912,273,-60,1,66
1589546723710243879,273,-63,3,66
1589546723711999002,273,-63,4,66
1589546723713638747,273,-61,4,66
1589546723716930947,273,-57,3,66
1589546723718534514,273,-53,3,66
1589546723721812047,273,-49,3,66
1589546723722992722,273,-47,5,66
1589546723724508777,273,-47,5,66
1589546723726375368,273,-50,4,66
1589546723729176720,273,-52,4,66
1589546723730596463,273,-52,5,66
1589546723732202963,273,-50,6,66
1589546723734092532,273,-49,5,66
1589546723736838640,273,-50,5,66
1589546723738373273,273,-52,5,66
1589546723740405109,273,-53,6,66
1589546723741978364,273,-53,6,66
1589546723744416470,273,-51,6,66
1589546723745938391,273,-50,6,66
1589546723747505780,273,-50,6,66
1589546723749598728,273,-50,6,66
1589546723751070293,273,-50,6,66
1589546723754200670,274,-50,6,66
1589546723755863882,274,-50,6,66
1589546723757338870,274,-51,6,66
1589546723759835154,274,-52,7,66
1589546723762217526,274,-53,7,66
1589546723763734069,274,-53,6,66
1589546723765310747,274,-53,7,66
1589546723766730001,274,-51,6,66
1589546723769994824,274,-49,8,66
1589546723771369589,274,-46,6,66
1589546723774414410,273,-43,6,66
1589546723775889887,273,-42,5,66
1589546723777762833,273,-42,6,66
1589546723779344888,273,-43,6,66
1589546723782141352,273,-44,7,66
1589546723783625140,273,-44,7,66
1589546723786261247,273,-45,6,66
1589546723787780724,273,-46,7,66
1589546723790936035,273,-45,8,66
1589546723792594357,273,-43,8,66
1589546723795103352,273,-41,7,66
1589546723797055499,273,-42,7,66
1589546723799387026,273,-43,8,66
1589546723800296366,273,-47,8,66
1589546723803533810,273,-52,10,66
1589546723804797597,273,-61,8,66
1589546723806365963,273,-74,8,66
1589546723807700150,273,-90,9,66
1589546723812787563,273,-107,9,66
1589546723813122943,273,-123,9,66
1589546723815131313,273,-136,7,66
1589546723816878613,273,-146,7,66
1589546723818383913,273,-152,8,66
1589546723820097969,273,-155,8,66
1589546723823044034,273,-154,9,66
1589546723824564489,273,-148,8,66
1589546723827696332,273,-131,7,66
1589546723829596168,273,-97,9,66
1589546723831252535,273,-43,11,66
1589546723833039436,273,33,9,66
1589546723834931938,273,129,9,66
1589546723836800973,273,237,8,66
1589546723838641652,274,334,10,66
1589546723841527094,274,390,10,66
1589546723842418834,274,395,8,66
1589546723843810221,274,375,7,66
1589546723845357565,274,360,7,66
1589546723847227089,274,357,6,66
1589546723848910345,274,352,8,66
1589546723851857388,274,335,8,66
1589546723853439932,274,308,6,66
1589546723855975327,274,280,6,66
1589546723857456182,274,258,6,66
1589546723860345046,274,241,7,66
1589546723861859146,274,218,7,66
1589546723863468579,273,168,6,66
1589546723865189969,273,73,6,66
1589546723868002077,273,-54,7,66
1589546723869458976,273,-179,7,66
1589546723872314107,273,-266,7,66
1589546723874254031,273,-307,6,66
1589546723877163918,273,-313,7,66
1589546723879032953,273,-301,7,76
1589546723882558355,273,-278,8,76
1589546723882668356,273,-248,8,76
1589546723885530331,273,-215,8,76
1589546723886712961,273,-183,6,76
1589546723888511596,273,-154,7,76
1589546723892170954,273,-135,8,76
1589546723893155095,273,-126,7,76
1589546723894473637,273,-127,7,76
1589546723897711570,273,-137,6,76
1589546723899432471,273,-148,6,76
1589546723901192972,273,-156,6,76
1589546723902684094,273,-156,7,76
1589546723905832560,273,-144,6,76
1589546723907178480,273,-126,6,76
1589546723908901336,273,-105,7,76
1589546723911020684,274,-87,7,76
1589546723913887060,274,-77,7,76
1589546723915275514,274,-77,7,76
1589546723916857569,274,-84,8,76
1589546723918758382,274,-95,8,76
1589546723921609113,274,-103,9,76
1589546723923141301,274,-102,7,76
1589546723924875402,274,-93,7,76
1589546723926372390,274,-75,6,76
1589546723929207476,274,-55,8,76
1589546723930368107,274,-39,7,76
1589546723933368438,274,-31,6,76
1589546723934831204,274,-34,6,76
1589546723936691439,274,-43,6,76
1589546723938286694,274,-54,5,76
1589546723940098529,274,-61,6,76
1589546723941674718,274,-61,5,76
1589546723943340374,274,-53,5,76
1589546723946456084,274,-40,4,76
1589546723948903479,274,-24,3,76
1589546723951041405,274,-11,4,76
1589546723952509548,274,-1,4,76
1589546723954132670,274,2,3,76
1589546723956218774,274,0,3,76
