%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589546935793313197,246,-23,0,72
1589546935801178235,246,-26,0,72
1589546935803716637,246,-29,0,72
1589546935803746460,246,-32,0,72
1589546935806188548,246,-33,0,72
1589546935807759405,247,-32,0,72
1589546935807776027,247,-31,0,72
1589546935808829132,247,-29,0,72
1589546935812629891,247,-26,0,72
1589546935812662159,247,-25,0,72
1589546935814290217,247,-24,0,72
1589546935815670400,247,-23,0,72
1589546935817429485,247,-23,0,72
1589546935819732724,247,-23,0,72
1589546935822515579,247,-24,0,72
1589546935823943186,247,-26,1,72
1589546935825362482,247,-28,2,72
1589546935827884261,247,-30,2,72
1589546935829152484,247,-31,2,72
1589546935830362528,247,-31,1,72
1589546935833429927,247,-31,1,72
1589546935835076564,247,-33,1,72
1589546935838583979,247,-33,1,72
1589546935839020572,247,-32,0,72
1589546935841518396,247,-29,1,72
1589546935843168455,247,-26,0,72
1589546935847617993,247,-23,0,72
1589546935848930217,247,-23,0,72
1589546935850605211,247,-24,0,72
1589546935852138422,247,-26,0,72
1589546935853715634,247,-28,0,72
1589546935855346626,247,-30,0,72
1589546935856811390,247,-30,0,72
1589546935858385668,247,-30,0,72
1589546935861415911,247,-30,1,72
1589546935863327535,247,-29,1,72
1589546935864799143,247,-28,1,72
1589546935866484893,247,-27,1,72
1589546935869507801,247,-26,2,72
1589546935871407203,247,-27,2,72
1589546935874342108,247,-28,2,72
1589546935875883142,247,-30,3,72
1589546935877744897,247,-30,3,72
1589546935879525495,247,-31,3,72
1589546935882207636,247,-30,2,72
1589546935883673377,247,-28,2,72
1589546935885340548,247,-25,1,72
1589546935886925583,247,-23,2,72
1589546935890110320,247,-22,2,72
1589546935891358987,247,-22,1,72
1589546935895402732,247,-23,2,72
1589546935896040755,247,-26,2,72
1589546935898839255,247,-30,2,72
1589546935900393489,247,-33,2,72
1589546935901956034,247,-35,2,72
1589546935903444754,247,-33,1,72
1589546935906630469,247,-30,0,72
1589546935908511292,247,-25,2,72
1589546935909775115,247,-20,1,72
1589546935911425174,247,-16,0,72
1589546935914024690,247,-15,0,72
1589546935915851733,247,-16,0,72
1589546935918565164,247,-18,1,72
1589546935919492620,247,-20,1,72
1589546935922235874,247,-21,1,72
1589546935923591612,248,-21,1,72
1589546935925267094,248,-21,1,72
1589546935926875596,248,-20,2,72
1589546935928358939,248,-18,2,72
1589546935933596105,248,-17,3,72
1589546935933892871,248,-18,3,72
1589546935934721567,248,-20,2,72
1589546935936317847,248,-22,4,72
1589546935939344178,248,-22,3,72
1589546935943731135,248,-19,3,72
1589546935943809849,248,-16,3,72
1589546935949981316,248,-13,4,72
1589546935951474436,248,-11,3,72
1589546935954397608,248,-12,2,72
1589546935957075348,248,-16,3,72
1589546935957153084,248,-20,3,72
1589546935961193407,248,-24,1,72
1589546935961215897,248,-25,4,72
1589546935961794273,248,-25,3,72
1589546935963270282,248,-24,2,72
1589546935964935008,248,-22,2,72
1589546935966747385,248,-20,3,72
1589546935970833176,248,-17,4,72
1589546935972767779,248,-15,4,72
1589546935974132806,248,-13,4,72
1589546935975769176,248,-12,4,72
1589546935977973655,248,-12,4,72
1589546935979344549,248,-12,5,72
1589546935981909352,248,-12,5,72
1589546935983837599,248,-12,4,72
1589546935984702963,248,-11,4,72
1589546935985898340,248,-12,3,72
1589546935987543021,248,-13,4,72
1589546935989313351,248,-14,3,72
1589546935992672628,248,-15,3,72
1589546935994097790,248,-15,4,72
1589546935995868120,248,-14,4,72
1589546935997690275,248,-11,4,72
1589546936000574823,248,-7,4,72
1589546936002386221,248,-3,3,72
1589546936005401307,248,0,3,72
1589546936007268441,248,0,2,72
1589546936008600711,248,0,4,72
1589546936010666829,248,0,4,72
1589546936013063449,248,0,2,72
1589546936014667551,248,1,3,72
1589546936016189517,248,1,3,72
1589546936017832242,248,1,4,72
1589546936019402610,248,0,3,72
1589546936021054624,248,1,2,72
1589546936022474898,248,1,2,72
1589546936027815223,248,2,2,72
1589546936027898337,248,2,3,72
1589546936029126959,248,1,2,72
1589546936030733505,248,0,3,72
1589546936033902597,248,-3,3,72
1589546936035427496,248,-5,2,72
1589546936036905949,248,-5,4,72
1589546936038927088,248,-2,4,72
1589546936041615585,248,3,2,72
1589546936043854776,248,9,3,72
1589546936046322287,248,14,2,72
1589546936047785095,248,17,3,72
1589546936049265993,248,17,1,72
1589546936050823160,248,14,0,72
1589546936054023052,248,9,2,72
1589546936055472660,248,4,0,72
1589546936059004031,248,2,0,72
1589546936060883876,248,2,0,72
1589546936062003472,248,2,0,72
1589546936063659398,248,2,0,72
1589546936066257936,248,2,1,72
1589546936067810214,248,1,1,72
1589546936070468887,248,0,2,72
1589546936072231883,248,-3,1,72
1589546936073982657,248,-5,2,72
1589546936075765699,248,-3,2,72
1589546936078838965,248,0,2,72
1589546936080277817,248,2,2,72
1589546936082603056,248,3,1,72
1589546936083732918,248,4,2,72
1589546936086631645,248,4,2,72
1589546936087937514,248,4,2,72
1589546936091001979,248,6,4,72
1589546936093064676,248,8,3,72
1589546936094428236,248,9,3,72
1589546936095804996,248,8,3,72
1589546936098708612,248,7,3,72
1589546936100380183,248,5,4,72
1589546936102369543,248,5,6,72
1589546936103841151,248,7,5,72
1589546936106317462,248,10,5,72
1589546936107917164,248,14,4,72
1589546936110347518,248,17,4,72
1589546936112290432,248,17,3,72
1589546936113606080,248,16,4,72
1589546936115685399,248,13,3,72
1589546936117409772,248,9,5,72
1589546936118853023,249,5,4,72
1589546936120294808,249,1,3,72
1589546936123491768,249,-3,2,72
1589546936124983421,249,-10,2,72
1589546936128092866,249,-21,4,72
1589546936129422203,249,-37,3,72
1589546936132595205,249,-57,2,72
1589546936134012056,249,-76,3,72
1589546936135444552,249,-91,3,72
1589546936137133724,249,-101,5,72
1589546936140217257,249,-109,3,72
1589546936141689354,249,-114,3,72
1589546936143244077,249,-118,4,72
1589546936144891691,249,-118,4,72
1589546936147929756,249,-111,5,72
1589546936149535325,249,-93,4,72
1589546936152382716,249,-58,5,72
1589546936154098777,249,-1,5,72
1589546936155848573,249,77,4,72
1589546936157794421,249,175,4,72
1589546936160489273,249,286,3,72
1589546936162165733,249,392,3,72
1589546936165238999,249,461,2,72
1589546936166776121,249,476,3,72
1589546936168207150,249,454,3,72
1589546936169695870,249,431,3,72
1589546936172903097,249,423,3,72
1589546936174910546,249,419,3,72
1589546936177191295,249,404,2,72
1589546936178541655,249,376,4,72
1589546936180394121,249,343,2,72
1589546936181973778,249,311,1,72
1589546936185000109,249,273,2,72
1589546936186318200,249,208,2,72
1589546936189366043,249,103,2,72
1589546936190986768,249,-25,2,72
1589546936192767365,249,-145,1,72
1589546936194807083,249,-227,1,72
1589546936196493810,249,-270,2,72
1589546936198392723,249,-284,3,72
1589546936200950192,249,-281,3,72
1589546936203440681,249,-267,2,70
1589546936204577389,249,-244,1,70
1589546936206157535,249,-216,1,70
1589546936209196577,249,-185,1,70
1589546936210747388,249,-156,1,70
1589546936212229264,249,-135,2,70
1589546936213904746,249,-124,1,70
1589546936215483914,249,-125,2,70
1589546936216989257,249,-135,1,70
1589546936218692118,249,-150,1,70
1589546936222128152,249,-163,1,70
1589546936223631539,249,-167,0,70
1589546936225440493,249,-158,2,70
1589546936227144332,249,-140,2,70
1589546936229857274,249,-116,1,70
1589546936231357728,249,-96,1,70
1589546936234800118,249,-84,1,70
1589546936236021895,249,-83,1,70
1589546936237670977,249,-91,0,70
1589546936239772785,249,-102,2,70
1589546936242513106,249,-111,3,70
1589546936244974261,249,-112,3,70
1589546936245961852,249,-104,2,70
1589546936247367947,249,-89,4,70
1589546936250318986,249,-70,4,70
1589546936252940014,249,-52,3,70
1589546936254146146,249,-42,5,70
1589546936255483794,249,-42,4,70
1589546936258548259,249,-52,4,70
1589546936260146494,249,-67,3,70
1589546936263369855,249,-79,4,70
1589546936265365571,249,-82,3,70
1589546936266405475,249,-76,5,70
1589546936268198783,249,-62,4,70
1589546936271462234,249,-45,5,70
1589546936273796273,249,-29,4,70
1589546936275921061,249,-20,4,70
1589546936277738326,249,-20,6,70
1589546936279263714,249,-26,5,70
1589546936281048222,249,-35,5,70
1589546936282398582,249,-45,4,70
1589546936284040819,249,-50,4,70
1589546936286816341,249,-46,5,70
1589546936288178923,249,-33,4,70
1589546936291541132,249,-14,4,70
1589546936292883669,249,2,3,70
1589546936294816805,249,11,4,70
1589546936296403307,249,11,4,70
1589546936299026290,249,2,4,70
1589546936300747241,249,-10,3,70
1589546936303147282,249,-21,4,70
1589546936304442884,249,-25,4,70
1589546936305822578,249,-22,4,70
1589546936307477527,249,-13,5,70
1589546936309057183,249,0,4,70
1589546936312261476,249,13,4,70
1589546936314505068,249,22,4,70
1589546936315908718,249,22,4,70
1589546936317644336,249,14,6,70
1589546936320447725,249,1,5,70
1589546936323855403,249,-8,5,70
1589546936323880826,249,-11,6,70
1589546936324994555,249,-7,7,70
1589546936328410056,249,3,6,70
1589546936329813706,249,17,6,70
1589546936332775990,249,28,6,70
1589546936334410404,249,35,6,70
1589546936335964149,249,35,7,70
1589546936337667499,249,28,7,70
1589546936340976907,249,19,5,70
1589546936342811772,249,10,4,70
1589546936343964125,249,6,4,70
1589546936345634718,249,9,5,70
1589546936348628292,249,16,3,70
1589546936350097456,249,25,4,70
1589546936353634205,249,32,3,70
1589546936355087724,249,35,3,70
1589546936357057039,249,34,4,70
1589546936358397132,249,30,4,70
1589546936362952273,249,24,4,70
1589546936363105790,249,20,4,70
1589546936365580145,249,21,3,70
1589546936367130956,249,27,4,70
1589546936368986356,249,35,3,70
1589546936372274252,249,43,3,70
1589546936373677414,249,49,3,70
1589546936375457522,249,53,3,70
1589546936376924241,249,54,3,70
1589546936378417361,249,52,4,70
1589546936381442714,249,48,4,70
1589546936382885477,249,44,3,70
1589546936385577396,249,43,4,70
1589546936387157053,249,46,4,70
1589546936389268151,249,52,4,70
1589546936390587709,249,60,3,70
1589546936393685421,249,66,4,70
1589546936395248454,249,69,6,70
1589546936396945449,249,68,6,70
1589546936398914275,249,65,6,70
1589546936400575090,249,61,7,70
1589546936402281862,249,60,7,70
1589546936404444296,249,60,8,70
1589546936407133281,249,61,7,70
1589546936407540051,249,64,7,70
1589546936411798915,250,67,6,70
1589546936412530808,250,71,6,70
1589546936414884892,250,74,5,70
1589546936415965865,250,76,6,70
1589546936417600279,250,75,7,70
1589546936418987306,250,72,7,70
1589546936422050794,250,69,7,70
1589546936423354219,250,68,7,70
1589546936426543355,250,70,7,70
1589546936428752235,250,74,7,70
1589546936431234413,250,78,7,70
1589546936432793046,250,80,6,70
1589546936434428927,250,81,6,70
1589546936436096098,250,80,6,70
1589546936439634314,250,77,7,70
1589546936440394564,250,73,6,70
1589546936443339736,250,69,5,70
1589546936444555157,250,67,6,70
1589546936446405668,250,66,5,70
1589546936448201910,250,68,5,70
1589546936450693867,250,70,6,70
1589546936452218277,250,72,5,70
1589546936455561419,250,72,6,70
1589546936456678570,250,70,6,70
1589546936459870640,250,67,6,70
1589546936461760753,250,62,5,70
1589546936463506638,250,56,5,70
1589546936465070160,250,51,5,70
1589546936468125826,250,46,6,70
1589546936469741172,250,44,6,70
1589546936471465057,250,45,5,70
1589546936473528242,250,48,4,70
1589546936475912149,250,49,5,70
1589546936478041826,250,49,4,70
1589546936479680151,250,46,5,70
1589546936481284253,250,41,4,70
1589546936484544281,250,36,4,70
1589546936485832550,250,30,3,70
1589546936487538344,250,27,4,70
1589546936488918038,250,26,4,70
1589546936493444334,250,26,3,70
1589546936494195783,250,26,3,70
1589546936495143773,250,24,3,70
1589546936496782587,250,22,3,70
1589546936498530428,250,19,4,70
1589546936499984436,250,15,2,70
1589546936501405687,250,13,2,70
1589546936504361126,250,12,5,70
1589546936505783844,250,11,4,70
1589546936508624390,250,10,4,70
1589546936510233381,250,8,4,70
1589546936513435718,250,6,4,70
1589546936515014397,250,6,5,70
1589546936516799395,250,5,6,70
1589546936518265136,250,5,5,70
1589546936522887747,250,4,4,70
1589546936522918059,250,1,5,70
1589546936524539272,250,-2,5,70
1589546936526159019,250,-6,6,70
1589546936529521718,250,-8,6,70
1589546936531022661,250,-8,6,70
1589546936532560760,250,-7,6,70
1589546936534095438,250,-5,6,70
1589546936537105635,250,-4,6,70
1589546936538613911,250,-2,6,70
1589546936542364801,250,0,4,70
1589546936543097183,250,0,4,70
1589546936544564880,250,0,3,70
1589546936546086846,250,-3,3,70
1589546936549209002,250,-8,5,70
