%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589546456918649473,244,-139,6,92
1589546456925802456,244,-151,5,92
1589546456928775410,244,-158,6,92
1589546456929329814,244,-158,7,92
1589546456930939247,244,-149,8,92
1589546456930962714,244,-132,9,92
1589546456931274138,244,-112,9,92
1589546456933318686,244,-93,9,92
1589546456935318255,244,-82,9,92
1589546456937055778,244,-82,7,92
1589546456940025310,244,-90,7,92
1589546456940410068,244,-103,7,92
1589546456942798307,244,-114,6,92
1589546456945168456,244,-117,6,92
1589546456947069269,244,-110,9,92
1589546456950009956,244,-95,9,92
1589546456951680501,244,-76,9,92
1589546456953790071,244,-59,9,92
1589546456955396571,244,-49,9,92
1589546456957026538,244,-49,9,92
1589546456958526948,244,-58,9,92
1589546456960952832,244,-71,9,92
1589546456962305597,244,-81,9,92
1589546456963718495,244,-82,9,92
1589546456966736916,244,-73,11,92
1589546456967504477,244,-55,11,92
1589546456970571787,244,-36,12,92
1589546456973020649,244,-20,11,92
1589546456974081545,244,-12,11,92
1589546456975548222,244,-13,12,92
1589546456978163306,244,-21,11,92
1589546456981003281,244,-34,12,92
1589546456983165652,244,-44,12,92
1589546456984529661,244,-48,11,92
1589546456986199717,244,-44,10,92
1589546456987610660,244,-33,11,92
1589546456990863261,244,-19,10,92
1589546456992409138,244,-5,9,92
1589546456995073112,244,2,10,92
1589546456996027430,244,1,10,92
1589546457000324793,244,-7,10,92
1589546457001146620,244,-19,9,92
1589546457002370807,244,-28,10,92
1589546457003825750,244,-28,11,92
1589546457007170262,244,-19,12,92
1589546457008341159,244,-3,11,92
1589546457010634553,244,12,11,92
1589546457011948695,244,24,12,92
1589546457014951960,244,28,11,92
1589546457016464593,244,25,10,92
1589546457019165234,244,17,10,92
1589546457021159425,244,7,10,92
1589546457022531257,245,-1,13,92
1589546457024038512,245,-6,12,92
1589546457026950354,245,-3,12,92
1589546457028195563,245,5,11,92
1589546457032746172,245,17,11,92
1589546457032909951,245,27,9,92
1589546457034514495,245,33,9,92
1589546457035959172,245,34,8,92
1589546457038693057,245,30,8,92
1589546457040231601,245,23,8,92
1589546457043207978,245,18,7,92
1589546457045153280,245,16,11,92
1589546457046745602,245,19,12,92
1589546457048240634,245,28,12,92
1589546457051130477,245,38,11,92
1589546457052769732,245,45,11,92
1589546457055229349,245,46,13,92
1589546457057649855,245,43,12,92
1589546457058544039,245,37,14,92
1589546457060145650,245,32,14,92
1589546457061484726,245,29,13,92
1589546457063233982,245,30,13,92
1589546457064817504,245,33,11,92
1589546457068164461,245,39,11,92
1589546457069595449,245,48,11,92
1589546457072136222,245,57,11,92
1589546457073654721,245,63,12,92
1589546457076228250,245,65,12,92
1589546457078197019,245,62,11,92
1589546457080079743,245,58,10,92
1589546457081934600,245,54,10,92
1589546457084705153,245,53,10,92
1589546457086390853,245,55,11,92
1589546457087706463,245,60,10,92
1589546457089788166,245,66,9,92
1589546457095311182,245,71,10,92
1589546457095852874,245,73,11,92
1589546457099771835,245,73,12,92
1589546457100378550,245,71,14,92
1589546457101112377,245,68,13,92
1589546457104132265,245,67,12,92
1589546457105765654,245,69,11,92
1589546457107020151,245,74,11,92
1589546457112781258,245,81,10,92
1589546457113569841,245,89,9,92
1589546457117630580,245,94,9,92
1589546457118776055,245,97,9,92
1589546457122752704,245,95,9,92
1589546457123026973,245,90,8,92
1589546457124817785,245,83,8,92
1589546457129805464,245,76,7,92
1589546457129850931,245,73,9,92
1589546457132871797,245,74,8,92
1589546457133408111,245,79,8,92
1589546457134113094,245,86,10,92
1589546457135516215,245,92,8,92
1589546457137437073,245,94,8,92
1589546457138950683,245,91,8,92
1589546457140426649,245,85,10,92
1589546457142260972,245,78,10,92
1589546457144899035,245,73,12,92
1589546457145338060,245,71,13,92
1589546457146903005,245,70,13,92
1589546457148930930,245,70,14,92
1589546457150611741,245,70,13,92
1589546457153375938,245,70,13,92
1589546457155044039,245,69,13,92
1589546457156804051,245,67,13,92
1589546457158402239,245,64,15,92
1589546457160597366,245,59,14,92
1589546457161607906,245,55,15,92
1589546457163526808,245,53,14,92
1589546457166525673,245,53,14,92
1589546457167905816,245,55,13,92
1589546457169594939,245,57,13,92
1589546457171293351,245,56,12,92
1589546457174407106,245,52,12,92
1589546457176007250,245,49,11,92
1589546457180043544,245,46,11,92
1589546457181180219,245,45,9,92
1589546457182588229,245,44,11,92
1589546457184140951,245,41,12,92
1589546457187562707,245,38,13,92
1589546457189257697,245,35,12,92
1589546457190437394,245,32,12,92
1589546457192780166,245,29,12,92
1589546457195786853,245,26,12,92
1589546457197375753,245,23,12,92
1589546457198867852,245,22,14,92
1589546457200256795,245,22,13,92
1589546457202958903,245,23,12,92
1589546457204684203,245,23,11,92
1589546457207654224,245,21,12,92
1589546457209452370,245,17,12,92
1589546457211019269,245,12,12,92
1589546457212968972,245,9,15,92
1589546457216394151,245,7,13,92
1589546457217803627,245,7,14,92
1589546457219246837,245,8,17,92
1589546457221660498,245,11,18,92
1589546457224108871,245,13,17,92
1589546457225655237,245,12,17,92
1589546457227090625,245,7,18,92
1589546457229480819,245,1,19,92
1589546457232259683,245,-4,18,92
1589546457233649603,245,-6,17,92
1589546457235460949,245,-6,17,92
1589546457237297229,245,-4,17,92
1589546457239161375,245,-3,18,92
1589546457241394635,245,-2,16,92
1589546457243381493,245,-1,16,92
1589546457244796836,245,0,17,92
1589546457247611389,245,0,17,92
1589546457249008154,245,0,18,92
1589546457252073508,245,-3,18,92
1589546457252640135,245,-8,19,92
1589546457254565392,245,-14,18,92
1589546457255922068,245,-19,18,92
1589546457257552524,245,-22,17,92
1589546457260615923,245,-23,16,92
1589546457262150556,245,-22,17,92
1589546457263932568,245,-21,17,92
1589546457265418312,245,-20,17,92
1589546457268693890,245,-19,16,92
1589546457271652177,245,-16,15,92
1589546457273162365,245,-13,15,92
1589546457274881799,245,-10,15,92
1589546457276571411,245,-9,14,92
1589546457278184266,245,-9,15,92
1589546457281623624,245,-10,12,92
1589546457282953410,245,-9,13,92
1589546457284672845,245,-9,14,92
1589546457286105299,245,-10,15,92
1589546457289813058,245,-13,14,92
1589546457290706264,245,-17,14,92
1589546457293644995,245,-21,17,92
1589546457296074301,245,-24,17,92
1589546457297264754,245,-26,17,92
1589546457299727793,245,-27,17,92
1589546457301941008,245,-26,16,92
1589546457303496175,245,-24,16,92
1589546457304964807,245,-21,16,92
1589546457307987139,245,-20,15,92
1589546457309688973,245,-22,15,92
1589546457311507163,245,-24,15,92
1589546457314325138,245,-24,15,92
1589546457315739992,245,-22,15,92
1589546457317341115,245,-19,14,92
1589546457318941748,245,-17,14,92
1589546457321746523,245,-16,13,92
1589546457323465468,245,-14,12,92
1589546457326488778,245,-13,12,92
1589546457328075233,245,-13,11,92
1589546457330014180,245,-13,10,92
1589546457331601613,245,-14,13,92
1589546457333959052,245,-16,14,92
1589546457335365595,245,-18,14,92
1589546457337637966,245,-19,13,92
1589546457339614557,245,-19,13,92
1589546457341609238,245,-20,12,92
1589546457342974714,245,-22,12,92
1589546457344758193,245,-22,12,92
1589546457346403804,245,-22,12,92
1589546457350320809,245,-21,11,92
1589546457351038503,245,-22,15,92
1589546457353033672,245,-24,16,92
1589546457354639194,245,-26,15,92
1589546457356100982,245,-29,15,92
1589546457359365316,245,-30,14,92
1589546457361275418,245,-29,17,92
1589546457362622316,245,-29,14,92
1589546457364322683,245,-29,15,92
1589546457367602173,245,-29,16,92
1589546457369440408,245,-29,17,92
1589546457370898284,245,-29,16,92
1589546457372631896,245,-28,15,92
1589546457375515872,245,-27,16,92
1589546457377241661,245,-25,15,92
1589546457379051541,245,-24,15,92
1589546457380411639,245,-24,15,92
1589546457383130369,245,-24,15,92
1589546457384508556,245,-24,15,92
1589546457390037439,245,-23,17,92
1589546457390384552,245,-24,18,92
1589546457390905711,245,-25,19,92
1589546457392521989,245,-28,19,92
1589546457395539432,245,-30,17,92
1589546457396862375,245,-29,17,92
1589546457400371643,245,-26,17,92
