%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589546376917944716,273,-14,5,69
1589546376919363971,273,-13,4,69
1589546376932461394,273,-13,4,69
1589546376932487306,273,-15,5,69
1589546376933729092,273,-19,5,69
1589546376933750114,273,-24,5,69
1589546376933767715,273,-27,5,69
1589546376933785804,273,-28,4,69
1589546376934411586,273,-28,3,69
1589546376936084086,273,-28,5,69
1589546376938350102,273,-29,4,69
1589546376940014291,273,-29,3,69
1589546376942218217,273,-29,3,69
1589546376945631174,273,-29,4,69
1589546376947491409,273,-27,3,69
1589546376948064880,273,-25,3,69
1589546376949904093,273,-21,3,69
1589546376952396954,273,-18,3,69
1589546376952805668,273,-18,3,69
1589546376955406086,273,-21,4,69
1589546376958313040,273,-26,3,69
1589546376959142201,273,-32,3,69
1589546376960347809,273,-37,2,69
1589546376963173607,273,-40,3,69
1589546376967350213,273,-39,5,69
1589546376967496881,273,-35,5,69
1589546376969682718,273,-31,5,69
1589546376972887896,273,-28,3,69
1589546376973660346,273,-27,4,69
1589546376976089651,273,-26,4,69
1589546376977610106,273,-27,5,69
1589546376979673232,273,-29,5,69
1589546376981448888,273,-32,5,69
1589546376983574592,273,-34,6,69
1589546376985293537,273,-35,6,69
1589546376988253780,273,-34,5,69
1589546376990932421,273,-33,5,69
1589546376992471454,273,-32,6,69
1589546376993816885,273,-33,6,69
1589546376997069974,273,-34,6,69
1589546376998564518,273,-36,6,69
1589546377000224307,273,-37,4,69
1589546377001814185,273,-37,6,69
1589546377005163097,273,-36,5,69
1589546377006223015,273,-36,5,69
1589546377007810937,273,-38,3,69
1589546377009536727,273,-38,4,69
1589546377013622889,273,-38,6,69
1589546377014414894,273,-36,6,69
1589546377017907051,273,-34,6,69
1589546377019073548,273,-32,5,69
1589546377020666359,273,-30,6,69
1589546377022629751,273,-27,5,69
1589546377025091323,273,-27,5,69
1589546377026890447,273,-29,4,69
1589546377030123491,273,-32,6,69
1589546377031237677,273,-34,6,69
1589546377032829021,273,-34,6,69
1589546377034232631,273,-31,7,69
1589546377036755804,273,-27,6,69
1589546377038000035,273,-25,5,69
1589546377040979344,273,-26,6,69
1589546377043785586,273,-29,5,69
1589546377044647992,273,-32,5,69
1589546377046550761,273,-33,5,69
1589546377048024282,273,-31,5,69
1589546377049916295,273,-27,4,69
1589546377051097947,273,-23,3,69
1589546377054044501,273,-21,3,69
1589546377055408022,273,-21,5,69
1589546377057083456,273,-24,3,69
1589546377058880135,273,-30,3,69
1589546377062050601,273,-34,3,69
1589546377063783724,273,-36,5,69
1589546377066261430,273,-36,4,69
1589546377067943708,273,-35,3,69
1589546377069374207,273,-34,3,69
1589546377073061921,273,-34,3,69
1589546377074144329,273,-34,4,69
1589546377075495138,273,-34,3,69
1589546377078881206,273,-33,2,69
1589546377081976872,273,-31,0,69
1589546377082002294,273,-27,1,69
1589546377083684084,273,-23,0,69
1589546377086477614,273,-19,1,69
1589546377087870468,273,-17,1,69
1589546377090779866,273,-16,2,69
1589546377092252899,273,-16,4,69
1589546377095499143,273,-15,3,69
1589546377096869508,273,-16,3,69
1589546377098334229,273,-19,3,69
1589546377099928507,273,-24,2,69
1589546377102540658,273,-29,2,69
1589546377104778807,273,-31,2,69
1589546377106807221,273,-29,3,69
1589546377108162431,273,-27,1,69
1589546377113126154,273,-24,0,69
1589546377113166243,273,-21,0,69
1589546377115644438,273,-17,0,69
1589546377121466167,273,-14,2,69
1589546377123372847,273,-12,1,69
1589546377124989614,273,-13,2,69
1589546377129351510,273,-15,2,69
1589546377129419955,273,-17,2,69
1589546377130388940,273,-18,3,69
1589546377134613458,273,-18,3,69
1589546377136013645,273,-20,2,69
1589546377137590812,273,-21,1,69
1589546377142439645,273,-23,1,69
1589546377143223340,273,-23,3,69
1589546377145437533,273,-22,3,69
1589546377146792253,273,-20,2,69
1589546377148343508,273,-20,2,69
1589546377150559168,273,-19,4,69
1589546377151537441,273,-18,4,69
1589546377153806390,273,-16,3,69
1589546377155316090,273,-14,4,69
1589546377156950946,273,-13,4,69
1589546377158224510,273,-14,5,69
1589546377159711720,273,-16,4,69
1589546377161274709,273,-19,2,69
1589546377162675874,273,-21,2,69
1589546377164193396,273,-22,2,69
1589546377165728028,273,-21,3,69
1589546377167292973,273,-20,2,69
1589546377168986006,273,-17,2,69
1589546377170486906,273,-14,1,69
1589546377171826471,273,-10,0,69
1589546377173455948,273,-8,1,69
1589546377176655748,273,-8,0,69
1589546377178026113,273,-9,1,69
1589546377180098039,273,-10,1,69
1589546377181854629,273,-10,1,69
1589546377184895539,273,-8,1,69
1589546377186107014,273,-6,1,69
1589546377189458370,273,-5,1,69
1589546377190339354,273,-4,0,69
1589546377191880342,273,-5,0,69
1589546377193628621,273,-6,0,69
1589546377196820599,273,-8,0,69
1589546377198532700,273,-8,1,69
1589546377201797033,273,-8,0,69
1589546377203024153,273,-6,0,69
1589546377204769987,273,-3,2,69
1589546377206365243,273,-1,1,69
1589546377209662821,273,1,2,69
1589546377210721762,273,4,2,69
1589546377214086807,273,6,1,69
1589546377215600906,273,6,2,69
1589546377217318874,273,3,0,69
1589546377218858884,273,0,2,69
1589546377221577125,273,-2,1,69
1589546377222902512,273,-3,2,69
1589546377224947549,273,-2,2,69
1589546377226763783,273,-1,3,69
1589546377229148111,273,0,2,69
1589546377230638255,273,2,1,69
1589546377232931648,273,4,1,69
1589546377234411036,273,4,1,69
1589546377235747179,273,2,1,69
1589546377237208478,273,0,1,69
1589546377238913734,273,-3,0,69
1589546377242181979,273,-4,0,69
1589546377243465321,273,-3,0,69
1589546377246150317,273,-2,0,69
1589546377247926463,273,-1,0,69
1589546377250555237,273,-1,0,69
1589546377252368049,273,0,0,69
1589546377253773615,273,2,0,69
1589546377255433404,273,6,0,69
1589546377258500225,273,9,0,69
1589546377260512017,273,8,0,69
1589546377262399141,273,5,0,69
1589546377264454444,273,3,0,69
1589546377266824594,273,2,0,69
1589546377268512739,273,3,0,69
1589546377269975504,273,5,0,69
1589546377271536537,273,7,0,69
1589546377274647359,273,10,0,69
1589546377276063680,273,12,0,69
1589546377278792676,273,13,0,69
1589546377280468110,273,13,0,69
1589546377283320308,273,12,0,69
1589546377284877918,273,9,0,69
1589546377286429173,273,7,0,69
1589546377288461499,273,4,0,69
1589546377291458897,273,2,0,69
1589546377292950019,273,2,0,69
1589546377296133685,273,3,0,69
1589546377297707429,273,4,0,69
1589546377299011794,273,3,0,69
1589546377300636872,273,2,0,69
1589546377303541870,273,0,0,69
1589546377304901968,273,-2,0,69
1589546377307849010,273,-4,0,69
1589546377309313243,273,-5,0,69
1589546377312758467,273,-5,0,69
1589546377313654606,273,-8,0,69
1589546377314944793,273,-16,0,69
1589546377316687205,273,-32,0,69
1589546377319901183,273,-54,0,69
1589546377321594216,273,-75,0,69
1589546377323331251,273,-93,0,69
1589546377324502637,273,-107,0,69
1589546377327437457,273,-117,0,69
1589546377329083068,273,-123,0,69
1589546377331504063,273,-124,0,69
1589546377333512432,273,-121,0,69
1589546377334702885,273,-112,0,69
1589546377336471208,273,-92,0,69
1589546377337925174,273,-56,0,69
1589546377339996121,273,1,0,69
1589546377341854890,273,79,0,69
1589546377344307173,273,176,0,69
1589546377346097986,273,285,0,69
1589546377349140362,273,389,0,69
1589546377350251614,273,458,0,69
1589546377353175679,273,471,0,69
1589546377354375421,273,446,0,69
1589546377355958454,273,421,0,69
1589546377357863667,273,413,0,69
1589546377360468485,273,410,0,69
1589546377362086718,273,398,0,69
1589546377364883671,273,373,0,69
1589546377366307325,273,343,0,69
1589546377369212812,273,312,0,69
1589546377370569488,273,273,0,69
1589546377373810844,273,207,0,69
1589546377375263832,273,102,0,69
1589546377376822420,273,-24,0,69
1589546377378389809,273,-138,0,69
1589546377381421430,273,-214,0,69
1589546377383000552,273,-253,0,69
1589546377385907016,273,-269,0,69
1589546377387529650,273,-270,0,69
1589546377389300418,273,-261,0,71
1589546377391001763,273,-240,0,71
1589546377394074939,273,-212,0,71
1589546377395519616,273,-183,0,71
1589546377397253717,273,-158,0,71
1589546377400204182,273,-141,0,71
1589546377401681614,273,-133,0,71
1589546377403501271,273,-136,0,71
1589546377406245912,273,-147,0,71
1589546377407983436,273,-160,0,71
1589546377409416868,273,-171,0,71
1589546377411045857,273,-171,0,71
1589546377413755787,273,-161,0,71
1589546377415089485,273,-141,0,71
1589546377417826304,273,-116,0,71
1589546377421221172,273,-94,0,71
1589546377422540203,273,-80,0,71
1589546377424188748,273,-79,0,71
1589546377426640053,273,-89,0,71
1589546377430769237,273,-106,0,71
1589546377432049646,273,-122,0,71
1589546377433479167,273,-135,0,71
1589546377434860288,273,-142,0,71
1589546377436424743,273,-139,0,71
1589546377438022932,273,-127,0,71
1589546377440252281,273,-106,0,71
1589546377441576201,273,-83,0,71
1589546377443213990,273,-63,0,71
1589546377444770134,273,-53,0,71
1589546377446394234,273,-52,0,71
1589546377447720110,273,-55,0,71
1589546377450489685,273,-56,0,71
1589546377451931917,273,-49,0,71
1589546377455096028,273,-35,0,71
1589546377456193591,273,-18,0,71
1589546377460235752,273,-5,0,71
1589546377461121625,273,0,0,71
1589546377463264440,273,-3,0,71
1589546377464998052,273,-10,0,71
1589546377466676419,273,-19,0,71
1589546377468495587,273,-26,0,71
1589546377471861121,273,-27,0,71
1589546377473233931,273,-21,0,71
1589546377474787142,273,-8,0,71
1589546377476772533,273,7,0,71
1589546377479728865,273,20,0,71
1589546377481424343,273,24,0,71
1589546377484314674,273,17,0,71
1589546377485704595,273,3,0,71
1589546377487046115,273,-12,0,71
1589546377488811994,273,-22,0,71
1589546377491893482,273,-24,0,71
1589546377493168513,273,-17,0,71
1589546377496022666,273,-3,0,71
1589546377497594455,273,14,0,71
1589546377500793277,273,29,0,71
1589546377502360177,273,37,0,71
1589546377504034633,273,36,0,71
1589546377505312108,273,28,0,71
1589546377509069245,273,16,0,71
1589546377509939473,273,6,0,71
1589546377511337705,273,1,0,71
1589546377513229718,273,4,0,71
1589546377515685424,273,12,0,71
1589546377517333969,272,21,0,71
1589546377520896038,272,30,0,71
1589546377522348048,272,33,0,71
1589546377524257172,272,32,0,71
1589546377525839228,272,26,0,71
1589546377527315682,272,18,0,71
1589546377529301074,272,13,0,71
1589546377531536778,272,12,0,71
1589546377532444651,272,16,0,71
1589546377536280989,272,24,0,71
1589546377537478286,272,33,0,71
1589546377539065719,272,39,0,71
1589546377540704486,272,42,0,71
1589546377542574988,272,41,0,71
1589546377545500519,272,37,0,71
1589546377547158353,272,32,0,71
1589546377548790764,272,29,0,71
1589546377550339575,272,29,0,71
1589546377553349196,272,33,0,71
1589546377554488803,272,41,0,71
1589546377557299445,272,49,0,71
1589546377558439053,272,56,0,71
1589546377561918010,272,58,0,71
1589546377563312331,273,56,0,71
1589546377564965276,273,51,0,71
1589546377566860222,273,46,0,71
1589546377569670864,273,44,0,71
1589546377571031451,273,45,0,71
1589546377573598135,273,51,0,71
1589546377575481837,273,59,0,71
1589546377578179545,273,68,0,71
1589546377579644755,273,75,0,71
1589546377582134683,273,78,0,71
1589546377583193624,273,76,0,71
1589546377586084933,273,71,0,71
1589546377587347742,273,65,0,71
1589546377591568837,273,62,0,71
1589546377591595238,273,61,0,71
1589546377594672326,273,65,1,71
1589546377595821222,273,71,0,71
1589546377599111956,273,77,1,71
1589546377600987836,273,83,0,71
1589546377603281229,273,87,0,71
1589546377604267814,273,87,0,71
1589546377606046404,273,83,0,71
1589546377607399658,273,75,0,71
1589546377610022076,273,67,0,71
1589546377611635420,273,63,0,71
1589546377613907792,273,65,0,71
1589546377615541181,273,72,0,71
1589546377616842612,273,80,0,71
1589546377618749292,273,86,0,71
1589546377620500993,273,88,0,71
1589546377623399146,273,87,0,71
1589546377626261122,273,84,0,71
1589546377626693791,273,78,0,71
1589546377628370203,273,70,0,71
1589546377631525513,273,64,0,71
1589546377632816189,273,61,0,71
1589546377634549312,273,61,0,71
1589546377636073678,273,63,0,71
1589546377638968409,273,63,0,71
1589546377640395975,273,61,1,71
1589546377643372840,273,57,1,71
1589546377644858094,273,53,1,71
1589546377647778737,273,50,0,71
1589546377649240525,273,47,0,71
1589546377652334235,273,45,0,71
1589546377653738334,273,44,0,71
1589546377655156610,273,43,0,71
1589546377656683421,273,44,0,71
1589546377659759042,273,44,0,71
1589546377661386075,273,44,0,71
1589546377665029789,273,43,0,71
1589546377665859440,273,41,0,71
1589546377668850971,273,37,0,71
1589546377671421078,273,33,0,71
1589546377672301573,273,28,0,71
1589546377673280824,273,25,0,71
1589546377676168711,272,25,0,71
1589546377677672055,272,25,0,71
1589546377680696342,272,25,0,71
1589546377682108752,272,23,0,71
1589546377685051883,272,19,0,71
1589546377686546916,272,15,0,71
1589546377688519596,272,11,0,71
1589546377690178408,272,9,0,71
1589546377691978509,272,7,0,71
1589546377693427097,272,6,0,71
1589546377696080804,272,5,0,71
1589546377697545036,272,5,0,71
1589546377700553679,272,5,0,71
1589546377701777866,272,6,0,71
1589546377704097659,272,5,0,71
1589546377705978428,272,4,0,71
1589546377708911293,272,2,0,71
1589546377710496770,272,0,0,71
1589546377712285138,272,-2,0,71
1589546377713550391,272,-5,0,71
1589546377715856496,272,-8,0,71
1589546377717136905,272,-13,0,71
1589546377718928695,272,-18,0,71
1589546377720542040,272,-23,0,71
1589546377722298141,272,-25,0,71
1589546377725085804,272,-24,0,71
1589546377726377947,272,-21,0,71
1589546377729029698,272,-18,0,71
1589546377730722732,272,-15,0,71
1589546377733637019,272,-14,0,71
1589546377734979517,272,-14,0,71
1589546377737917760,272,-14,0,71
1589546377739571193,272,-15,0,71
1589546377741625030,272,-16,0,71
1589546377743240819,272,-17,0,71
1589546377746054394,272,-19,0,71
1589546377747688761,272,-20,0,71
