%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589546356918582337,281,-17,7,77
1589546356924450511,281,-15,7,77
1589546356928505872,281,-16,7,77
1589546356928978631,281,-18,6,77
1589546356929002098,281,-21,6,77
1589546356929016275,281,-23,6,77
1589546356931342914,281,-24,6,77
1589546356932706434,281,-25,6,77
1589546356936123791,281,-27,6,77
1589546356937837847,281,-28,6,77
1589546356939618393,281,-28,6,77
1589546356941070403,281,-28,6,77
1589546356943662021,281,-28,7,77
1589546356946682397,281,-28,6,77
1589546356948245875,281,-27,7,77
1589546356950091932,281,-26,7,77
1589546356951477453,281,-25,8,77
1589546356953513200,281,-24,7,77
1589546356955881883,281,-23,7,77
1589546356957530428,281,-21,6,77
1589546356960550804,281,-20,7,77
1589546356961685523,281,-20,9,77
1589546356964141229,281,-20,7,77
1589546356966032265,281,-22,7,77
1589546356967418274,281,-25,6,77
1589546356969619267,281,-27,7,77
1589546356972583910,281,-28,7,77
1589546356973850630,281,-27,7,77
1589546356976950207,281,-24,6,77
1589546356978616840,281,-21,5,77
1589546356980054184,281,-19,6,77
1589546356982000464,281,-18,6,77
1589546356984119323,281,-20,6,77
1589546356985379687,281,-23,5,77
1589546356987973750,281,-25,5,77
1589546356989478071,281,-29,4,77
1589546356992152801,281,-34,4,77
1589546356993575966,281,-42,4,77
1589546356995148244,281,-53,4,77
1589546356996442341,281,-68,4,77
1589546356997954974,281,-84,5,77
1589546357000875616,281,-101,4,77
1589546357003169010,281,-119,5,77
1589546357004454797,281,-138,5,77
1589546357006168853,281,-158,4,77
1589546357009319764,281,-175,5,77
1589546357010472083,281,-185,5,77
1589546357013427925,281,-180,6,77
1589546357014821268,281,-153,5,77
1589546357016452213,281,-97,5,77
1589546357018044046,281,-13,6,77
1589546357021019933,281,95,5,77
1589546357022536477,281,220,6,77
1589546357025590587,281,343,5,77
1589546357027387266,281,434,5,77
1589546357030150974,281,468,5,77
1589546357031469028,281,455,6,77
1589546357032840371,281,430,6,77
1589546357034515316,281,414,6,77
1589546357037852983,281,403,7,77
