%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589535758939426240,190,-49,0,80
1589535758946108404,190,-29,0,80
1589535758948564104,190,-14,0,80
1589535758950028333,190,-9,0,80
1589535758950115356,190,-15,0,80
1589535758950908826,190,-28,0,80
1589535758951607941,190,-41,0,80
1589535758954651777,190,-49,0,80
1589535758957894103,190,-48,0,80
1589535758958898286,190,-37,0,80
1589535758960433893,190,-20,0,80
1589535758963686486,190,-2,0,80
1589535758965333071,190,9,0,80
1589535758968219974,190,12,0,80
1589535758968984110,190,5,0,80
1589535758972241103,190,-6,0,80
1589535758973708266,190,-19,0,80
1589535758975322584,190,-27,0,80
1589535758977035170,190,-27,0,80
1589535758978631889,190,-18,0,80
1589535758980090251,190,-5,0,80
1589535758984078136,190,7,0,80
1589535758985714944,190,15,0,80
1589535758988520690,190,15,0,80
1589535758990237187,190,10,0,80
1589535758991576260,190,0,0,80
1589535758993176890,190,-8,0,80
1589535758994489074,190,-12,0,80
1589535758996091659,190,-9,0,80
1589535758997375487,190,0,0,80
1589535758999123762,190,13,0,80
1589535759001638618,190,25,0,80
1589535759003468049,190,31,0,80
1589535759004912722,190,30,0,80
1589535759007676424,190,22,0,80
1589535759009404654,190,9,0,80
1589535759012400579,190,-4,0,80
1589535759013621340,190,-12,0,80
1589535759015459082,190,-10,0,80
1589535759017033801,190,0,0,80
1589535759020150482,190,15,0,80
1589535759021551644,190,30,0,80
1589535759025166017,190,39,0,80
1589535759026901091,190,41,0,80
1589535759028761322,190,36,0,80
1589535759030697820,190,26,0,80
1589535759031896581,190,16,0,80
1589535759033771968,190,8,0,80
1589535759036908205,190,6,0,80
1589535759037894298,190,10,0,80
1589535759041060357,190,17,0,80
1589535759042572009,190,26,0,80
1589535759044299750,190,33,0,80
1589535759045870558,190,36,0,80
1589535759049029772,190,34,0,80
1589535759050277912,190,29,0,80
1589535759052042320,190,23,0,80
1589535759053708950,190,20,0,80
1589535759056666253,190,20,0,80
1589535759057997992,190,25,0,80
1589535759061337119,190,33,0,80
1589535759062914282,190,42,0,80
1589535759064697268,190,47,0,80
1589535759066015318,190,48,0,80
1589535759068653864,190,45,0,80
1589535759070183116,190,40,0,80
1589535759072879350,190,36,0,80
1589535759075307184,190,34,0,80
1589535759076554834,190,36,0,80
1589535759077973596,190,42,0,80
1589535759081156278,190,50,0,80
1589535759083286377,190,59,0,80
1589535759085904878,190,66,0,80
1589535759086625992,190,71,0,80
1589535759088259867,190,73,0,80
1589535759089794496,190,72,0,80
1589535759091652771,190,71,0,80
1589535759093221134,190,71,0,80
1589535759094811986,190,73,0,80
1589535759098084624,190,76,0,80
1589535759099388985,190,79,0,80
1589535759102364377,190,82,0,80
1589535759103720072,190,85,0,80
1589535759105457591,190,85,0,80
1589535759107059688,190,82,0,80
1589535759109721211,190,77,3,80
1589535759111920733,190,71,3,80
1589535759114217054,190,67,7,80
1589535759117808449,190,67,10,80
1589535759118514408,190,70,10,80
1589535759120046104,190,74,11,80
1589535759122823495,190,77,11,80
1589535759124354213,190,77,12,80
1589535759125951909,190,75,11,80
1589535759127665962,190,73,10,80
1589535759130526953,190,71,9,80
1589535759131866026,190,70,8,80
1589535759134710395,190,70,7,80
1589535759136075379,190,71,6,80
1589535759139090371,190,72,6,80
1589535759140432377,190,74,6,80
1589535759143503102,190,74,9,80
1589535759145477245,190,72,10,80
1589535759147324765,190,68,12,80
1589535759148651615,190,63,15,80
1589535759151780030,190,58,16,80
1589535759153125458,190,55,16,80
1589535759155174890,190,54,15,80
1589535759156277340,190,54,16,80
1589535759159019530,190,57,15,80
1589535759160564915,190,60,14,80
1589535759163631241,190,62,13,80
1589535759165475338,190,62,12,80
1589535759166774322,190,58,12,80
1589535759168656553,190,53,12,80
1589535759171164076,190,46,10,80
1589535759172856128,190,39,10,80
1589535759175080583,190,35,11,80
1589535759176700279,190,32,13,80
1589535759178382554,190,32,14,80
1589535759179796427,190,31,15,80
1589535759181273856,190,28,15,80
1589535759184057114,190,23,14,80
1589535759185478320,190,19,14,80
1589535759188515312,190,16,15,80
1589535759189859274,190,14,15,80
1589535759191557193,190,11,15,80
1589535759192894799,190,8,14,80
1589535759195765079,190,5,13,80
1589535759197356420,190,1,12,80
1589535759200076611,190,0,15,80
1589535759201756930,190,-2,14,80
1589535759205083834,190,-2,14,80
1589535759208318827,190,-3,14,80
1589535759209893545,190,-6,16,80
1589535759211460442,190,-9,20,80
1589535759212954004,190,-14,20,80
1589535759214746279,190,-18,19,80
1589535759215994418,190,-22,22,80
1589535759218170473,190,-24,26,80
1589535759221042709,190,-24,26,80
1589535759222382759,190,-23,28,80
1589535759225426596,190,-22,31,80
