%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589547329952470001,228,-68,19,77
1589547329953698118,228,-68,20,77
1589547329955062149,228,-66,20,77
1589547329958495695,228,-63,22,77
1589547329960008353,228,-62,20,77
1589547329961478965,228,-64,22,77
1589547329963159314,228,-67,22,77
1589547329966089782,228,-72,22,77
1589547329967743732,228,-75,21,77
1589547329969569774,228,-76,20,77
1589547329971226168,228,-74,20,77
1589547329974500332,228,-72,18,77
1589547329975043989,228,-72,18,77
1589547329977194661,228,-72,17,77
1589547329979202575,228,-73,22,77
1589547329980945993,228,-72,23,77
1589547329982527096,228,-71,26,77
1589547329984010419,228,-71,24,77
1589547329985635034,228,-72,23,77
1589547329987141336,228,-74,23,77
1589547329990208696,228,-76,23,77
1589547329991598150,228,-77,22,77
1589547329994216211,228,-78,20,77
1589547329995833493,228,-78,20,77
1589547329998724360,228,-77,19,77
1589547330000262928,228,-76,19,77
1589547330002031769,228,-76,21,77
1589547330003487225,228,-78,20,77
1589547330006476850,228,-80,19,77
1589547330008161111,228,-81,21,77
1589547330011281761,228,-81,20,77
1589547330012892687,228,-81,19,77
1589547330015831955,228,-79,19,77
1589547330017561195,228,-76,19,77
1589547330019094875,228,-73,20,77
1589547330020524908,228,-70,20,77
1589547330023855785,228,-69,18,77
1589547330025895477,228,-69,17,77
1589547330027202796,228,-69,16,77
1589547330028915902,228,-66,17,77
1589547330031871304,228,-62,18,77
1589547330033363427,228,-58,17,77
1589547330035408985,228,-54,17,77
1589547330036830707,228,-51,15,77
1589547330040089227,228,-49,15,77
1589547330041915758,228,-50,16,77
1589547330043370236,228,-52,16,77
1589547330045025652,228,-53,15,77
1589547330048196170,228,-54,15,77
1589547330049688293,228,-52,16,77
1589547330051454201,228,-48,15,77
1589547330053539849,228,-42,16,77
1589547330056277690,228,-36,15,77
1589547330059314249,228,-31,16,77
1589547330059717103,228,-27,16,77
1589547330061308473,228,-25,15,77
1589547330063538836,228,-24,14,77
1589547330065470480,228,-25,12,77
1589547330067902759,228,-26,12,77
1589547330069255546,228,-27,13,77
1589547330071334838,228,-27,13,77
1589547330072764871,228,-26,12,77
1589547330074178282,228,-24,15,77
1589547330075949567,228,-23,18,77
1589547330077801521,228,-24,17,77
1589547330081144131,228,-26,19,77
1589547330082696878,228,-27,18,77
1589547330084251092,228,-28,17,77
1589547330085789661,228,-27,16,77
1589547330088926934,228,-26,16,77
1589547330090355989,228,-25,13,77
1589547330092294478,228,-24,13,77
1589547330093718644,227,-22,12,77
1589547330098968943,227,-20,11,77
1589547330099003655,227,-20,12,77
1589547330102025059,227,-22,13,77
1589547330103348022,227,-23,14,77
1589547330104846502,227,-24,15,77
1589547330106400715,227,-24,19,77
1589547330109532610,227,-24,17,77
1589547330110894197,227,-22,17,77
1589547330112829753,227,-19,16,77
1589547330114180095,227,-15,15,77
1589547330117374569,227,-10,14,77
1589547330118949316,227,-7,15,77
1589547330122222992,227,-6,19,77
1589547330123401730,227,-6,21,77
1589547330125153949,227,-4,25,77
1589547330126836254,227,-2,27,77
1589547330129937348,227,0,25,77
1589547330131289646,227,1,25,77
1589547330133162134,227,3,25,77
1589547330134987198,227,5,26,77
1589547330138656394,227,5,26,77
1589547330139499747,227,4,25,77
1589547330142548040,227,3,25,77
1589547330143832380,227,2,23,77
1589547330145272192,227,1,23,77
1589547330148618224,227,0,23,77
1589547330149954878,227,-2,21,77
1589547330151841054,227,-6,21,77
1589547330154492849,227,-10,20,77
1589547330156022129,227,-13,19,77
1589547330157868705,227,-15,19,77
1589547330159504565,227,-18,18,77
1589547330161578968,227,-26,16,77
1589547330163919823,227,-42,16,77
1589547330165634396,228,-65,16,77
1589547330167068340,228,-88,15,77
1589547330170020319,228,-108,15,77
1589547330171283148,228,-122,13,77
1589547330173392753,228,-132,13,77
1589547330175354709,228,-140,13,77
1589547330176542737,228,-146,13,77
1589547330179438003,228,-149,13,77
1589547330180899326,228,-148,14,77
1589547330183237247,228,-141,14,77
1589547330184548966,228,-125,14,77
1589547330186314385,228,-92,18,77
1589547330188170739,228,-35,16,77
1589547330190949647,228,50,16,77
1589547330192271145,228,159,16,77
1589547330195517931,228,274,16,77
1589547330197009565,228,359,18,77
1589547330198876186,228,387,18,77
1589547330200346309,228,370,18,77
1589547330203688431,228,347,19,77
1589547330205180065,228,339,22,77
1589547330206766057,228,338,21,77
1589547330208238136,228,329,21,77
1589547330211592969,228,308,21,77
1589547330212995135,228,283,20,77
1589547330216020449,228,262,20,77
1589547330219284347,228,247,18,77
1589547330219308792,227,238,18,77
1589547330220937807,227,232,17,77
1589547330223560757,227,222,17,77
1589547330225199061,227,191,16,77
1589547330228903947,227,118,16,77
1589547330229879792,227,3,15,77
1589547330231290269,227,-124,14,77
1589547330233036131,227,-226,13,77
1589547330236310785,227,-282,13,77
1589547330237515924,227,-295,13,78
1589547330240982226,227,-279,13,78
1589547330242382925,227,-249,14,78
1589547330244048119,227,-215,14,78
1589547330245594510,227,-182,16,78
1589547330249815186,227,-154,18,78
1589547330250808142,227,-131,17,78
1589547330252555471,227,-117,17,78
1589547330254454360,227,-111,18,78
1589547330255921549,227,-112,19,78
1589547330259273449,228,-116,19,78
1589547330260995844,228,-121,18,78
1589547330262860021,228,-123,19,78
1589547330264527659,228,-121,19,78
1589547330266422636,228,-117,20,78
1589547330267598441,228,-113,19,78
1589547330269583376,228,-113,19,78
1589547330270721536,228,-117,21,78
1589547330272324639,228,-125,21,78
1589547330273832408,228,-130,22,78
1589547330276985814,228,-129,21,78
1589547330278337134,228,-119,20,78
1589547330281737435,228,-102,19,78
1589547330283213913,228,-81,18,78
1589547330284957820,228,-61,17,78
1589547330286426965,228,-44,17,78
1589547330289227386,228,-30,16,78
1589547330291712465,228,-20,16,78
1589547330293571753,228,-15,16,78
1589547330295476997,228,-16,16,78
1589547330298665604,228,-21,15,78
1589547330300228618,228,-26,15,78
1589547330302891168,228,-30,15,78
1589547330304266933,228,-30,14,78
1589547330305847548,228,-25,13,78
1589547330307282470,228,-16,12,78
1589547330311556924,228,-5,13,78
1589547330312320586,228,4,12,78
1589547330313702218,228,9,12,78
1589547330315365457,228,9,11,78
1589547330318774069,228,5,10,78
1589547330320002675,228,0,12,78
1589547330321690847,228,-3,11,78
1589547330323439154,229,-3,13,78
1589547330326013703,229,0,14,78
1589547330327864679,229,8,18,78
1589547330330970662,229,18,18,78
