%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589535099175971515,183,-5,9,70
1589535099177378069,183,-2,9,70
1589535099178829113,183,7,8,70
1589535099181174837,183,20,7,70
1589535099182114984,183,33,6,70
1589535099185247830,183,41,7,70
1589535099186775142,182,44,6,70
1589535099188088806,182,42,5,70
1589535099189742741,182,35,6,70
1589535099192770475,182,27,5,70
1589535099194275786,182,23,7,70
1589535099197282008,182,25,9,70
1589535099198855765,182,32,9,70
1589535099202096168,182,42,8,70
1589535099203742282,182,50,8,70
1589535099205478841,182,55,10,70
1589535099207050153,182,55,11,70
1589535099209830505,182,52,12,70
1589535099211372484,182,48,10,70
1589535099212931573,182,45,12,70
1589535099214664221,182,45,11,70
1589535099217390306,182,50,10,70
1589535099219868031,182,58,9,70
1589535099221798682,182,67,9,70
1589535099223142658,182,74,8,70
1589535099226394795,182,76,9,70
1589535099227518767,182,76,9,70
1589535099229208881,182,74,9,70
1589535099230559212,182,71,10,70
1589535099233750237,182,68,13,70
1589535099234978344,182,66,14,70
1589535099238119013,182,67,13,70
1589535099239787615,182,71,13,70
1589535099243053930,182,77,14,70
1589535099244545063,182,83,14,70
1589535099246156465,182,87,14,70
1589535099247742444,182,89,13,70
1589535099250734488,182,87,15,70
1589535099253141813,182,83,16,70
1589535099254485788,182,78,16,70
1589535099255783318,182,74,16,70
1589535099258484958,182,74,16,70
1589535099259765866,182,76,15,70
1589535099262021144,182,78,13,70
1589535099263656991,182,79,13,70
1589535099266001736,182,78,13,70
1589535099267706028,182,75,14,70
1589535099269533522,182,70,15,70
1589535099271163502,182,65,16,70
1589535099272627746,182,62,16,70
1589535099275762059,182,63,17,70
1589535099277228747,182,67,16,70
1589535099278603523,182,72,16,70
1589535099280343015,182,77,16,70
1589535099282922431,182,81,15,70
1589535099284150538,182,83,17,70
1589535099287008136,182,83,19,70
1589535099288323756,182,82,20,70
1589535099291457091,182,82,26,70
1589535099293296807,181,84,27,70
1589535099295915335,181,87,26,70
1589535099297556070,181,91,27,70
1589535099299683746,181,96,26,70
1589535099300854652,181,99,25,70
1589535099303940564,181,101,26,70
1589535099305266451,181,101,25,70
1589535099308565033,181,99,24,70
1589535099309790695,181,96,23,70
1589535099312515802,181,93,25,70
1589535099313252569,181,90,25,70
1589535099316290569,181,88,24,70
1589535099317713257,181,87,25,70
1589535099319216613,181,86,25,70
1589535099320916505,181,84,26,70
1589535099323715924,181,81,24,70
1589535099325451505,181,77,24,70
1589535099327751761,181,71,24,70
1589535099330131708,181,64,24,70
1589535099332386008,181,56,22,70
1589535099334661819,181,50,23,70
1589535099337099944,181,44,25,70
1589535099338598900,181,39,28,70
1589535099340248924,181,32,31,70
1589535099342050506,181,25,30,70
1589535099345273309,181,19,27,70
1589535099346475994,181,13,29,70
1589535099348294687,181,10,30,70
1589535099351408467,181,7,30,70
1589535099352268435,181,4,32,70
1589535099353943393,181,3,34,70
1589535099356392763,181,2,32,70
1589535099357791984,181,2,32,70
1589535099359972460,181,2,33,70
1589535099361502705,181,-1,34,70
1589535099363213842,181,-7,33,70
1589535099364592529,181,-15,31,70
1589535099366061173,181,-24,31,70
1589535099369096240,181,-31,34,70
1589535099371187737,181,-37,34,70
1589535099373588217,181,-41,33,70
1589535099375315487,181,-44,33,70
1589535099376604706,181,-47,32,70
1589535099378679582,181,-51,31,70
1589535099381324998,181,-55,29,70
1589535099382906577,181,-58,32,70
1589535099385924044,181,-60,33,70
1589535099387309087,181,-63,36,70
1589535099388967423,181,-67,40,70
1589535099391384036,181,-71,39,70
1589535099393471623,181,-75,36,70
1589535099395085958,181,-77,35,70
1589535099397936222,181,-79,35,70
1589535099399553002,181,-80,35,70
1589535099402323087,181,-82,34,70
1589535099403583461,181,-85,33,70
1589535099405731671,181,-87,33,70
1589535099407159247,181,-89,31,70
